source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
paper_default,-1.0,-1.0,,,MAX_RT,100,100,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,50,50,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,75,75,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,150,150,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,200,200,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000,100,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000,50,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000,75,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000,150,30,500,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000,200,30,500,0.01
recommendation_system,0.377315394,0.770009671,,,MAX_RT,4613,4925,17,1000,0.026609435
recommendation_system,0.387854167,0.769026592,,,MAX_RT,593,4957,42,999,0.892731833
recommendation_system,0.388984954,0.768197011,,,MAX_RT,17,4953,21,964,0.047357512
recommendation_system,0.391677662,0.767697071,,,MAX_RT,17,4953,35,964,0.047357512
recommendation_system,0.393781829,0.766272618,,,MAX_RT,348,4953,36,964,0.047357512
recommendation_system,0.398565394,0.764673549,,,MAX_RT,17,4953,94,964,0.047357512
recommendation_system,0.408282986,0.740163752,,,MAX_RT,29,3867,75,879,0.011960639
recommendation_system,0.476806713,0.572430265,0.4,9971.0,Completed,2188,127,25,6,0.146106673
recommendation_system,0.48815625,0.567580234,0.53,7632.0,Completed,2864,49,20,6,0.205270749
recommendation_system,0.491240162,0.558781909,0.55,9885.0,Completed,745,49,42,6,0.260766284
recommendation_system,0.496790509,0.556639168,0.37,6227.0,Completed,2125,58,30,14,0.287984409
recommendation_system,0.510471065,0.552517166,0.26,10729.0,Completed,2073,87,25,26,0.159055171
recommendation_system,0.52125463,0.537530635,,,MAX_RT,745,49,72,6,0.161486435
recommendation_system,0.549482639,0.501712508,,,MAX_RT,1103,49,74,33,0.320409502
recommendation_system,0.612072917,0.382254963,,,MAX_RT,4139,62,67,143,0.854480817
recommendation_system,0.612638889,0.348119453,,,MAX_RT,2196,161,79,201,0.168147617
recommendation_system,0.613356481,0.344388184,,,MAX_RT,4555,35,63,274,0.835261418
recommendation_system,0.618178241,0.342134405,,,MAX_RT,4820,68,86,311,0.379657981
recommendation_system,0.618405671,0.314635685,,,MAX_RT,3152,33,62,501,0.866235061
recommendation_system,0.623950231,0.312574187,,,MAX_RT,4226,72,82,584,0.230391823
