source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
benchmark_pareto,0.72,10.0,0.72,4.0,Completed,1,885,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.74,11.0,0.74,5.0,Completed,1,28,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.76,14.0,0.76,6.0,Completed,2028,47,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.78,18.0,0.78,7.0,Completed,1,5,0.269,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.83,36.0,0.83,23.0,Completed,1,1,0.942,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_max_rt,,6885.0,,4402.0,Completed,1123,1,0.145,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_min_acc,0.54,,0.54,,Completed,1,2311,0.696,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
paper_default,-1.0,-1.0,0.73,7.0,Completed,250,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.75,7.0,Completed,100,100,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.71,7.0,Completed,1000,1000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.72,7.0,Completed,2000,2000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.72,31.0,Completed,2000,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5650928653726207,0.9056793378520938,0.68,5.0,Completed,40,465,0.1401239799847003,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5930694353633184,0.9048995213390678,0.69,5.0,Completed,62,435,0.146119787025397,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5970255094146516,0.8976583733114895,0.69,5.0,Completed,62,435,0.170590403619567,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6332519375442487,0.8902038374491063,0.7,5.0,Completed,134,438,0.1405144474021702,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6529825868499728,0.8763550945137233,0.7,5.0,Completed,154,393,0.1429974780407886,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6542061176003853,0.8757532029284293,0.7,5.0,Completed,154,393,0.1369627664833491,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6544213316859776,0.8717106915374994,0.7,5.0,Completed,154,393,0.133039413847165,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6975178194495076,0.8331080601458988,0.73,6.0,Completed,180,255,0.1485246959920089,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7049082015529692,0.8187018547243625,0.73,6.0,Completed,127,183,0.133039413847165,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7085109238796509,0.8143689183935066,0.72,7.0,Completed,198,234,0.1286701972809912,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7106010103371765,0.8114815184985388,0.74,7.0,Completed,145,176,0.1474415093534263,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7181609759880361,0.8113168943150068,0.74,7.0,Completed,172,192,0.1340730537925502,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.725745366574219,0.8031799336973643,0.74,7.0,Completed,187,176,0.1330325979740893,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7336860727053374,0.7754757509641899,0.74,7.0,Completed,167,150,0.136284864894699,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7402187405054786,0.7638166254835074,0.75,9.0,Completed,154,104,0.133039413847165,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7406825284101268,0.7638079333279942,0.75,9.0,Completed,154,104,0.1429974780407886,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7429453160820118,0.7604859438779925,0.74,9.0,Completed,290,172,0.1214586942196484,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7539229667998055,0.7330488150639691,0.74,11.0,Completed,335,158,0.1247040322683751,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7683917673806133,0.6955213936014287,0.74,14.0,Completed,365,116,0.1309532744795354,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7713660964001933,0.6678266344287401,0.74,20.0,Completed,295,62,0.1419570638695163,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
