source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
benchmark_pareto,0.73,4.0,0.73,2.0,Completed,1,3051,0.118,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.74,5.0,0.74,3.0,Completed,2845,1349,0.299,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.75,6.0,0.75,4.0,Completed,2542,564,0.523,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_max_rt,,717.0,,430.0,Completed,4111,8,0.886,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_min_acc,0.71,,0.71,,Completed,3261,33,0.293,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
paper_default,-1.0,-1.0,0.75,4.0,Completed,250,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.75,4.0,Completed,100,100,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.74,3.0,Completed,1000,1000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.74,4.0,Completed,2000,2000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.74,14.0,Completed,2000,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.2206794096050529,0.9259440407481262,0.73,2.0,Completed,17,3830,0.0016127204336225,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.2377122464708057,0.9223950379297828,0.73,2.0,Completed,26,3106,0.0035010755125115,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4312895600943029,0.9010238251717808,0.74,2.0,Completed,135,407,0.1738655919198355,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4475821484141215,0.891821094298867,0.74,3.0,Completed,191,407,0.1624205353490553,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4616355241719545,0.8914167619773893,0.74,2.0,Completed,293,470,0.152904624486342,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4785787907782598,0.8790102814116512,0.75,3.0,Completed,363,407,0.1619595949955974,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.4857395136801845,0.8772870272415876,0.74,2.0,Completed,155,291,0.1052400254635543,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.492127701719795,0.8754869027598307,0.74,2.0,Completed,203,326,0.1276100705303251,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5045931774464084,0.8641406057540576,0.75,3.0,Completed,313,322,0.1432445559706539,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.512121636836167,0.858869518128705,0.75,3.0,Completed,285,291,0.1624205353490553,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5130531222561399,0.8569207003056827,0.75,3.0,Completed,191,242,0.1763566375813186,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5233666062741745,0.8545246663308057,0.75,3.0,Completed,228,250,0.1551469186823815,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5325609212541615,0.8511262209672074,0.74,2.0,Completed,44,154,0.1934227705249228,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5367632962575679,0.8480436047347661,0.75,3.0,Completed,245,238,0.1215715403892099,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5427680481222226,0.8479437426984283,0.74,2.0,Completed,65,143,0.1768202389110071,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5513863208302986,0.8470784241560158,0.74,2.0,Completed,54,135,0.1774517212326041,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5570360193102284,0.8354998568919229,0.74,2.0,Completed,62,122,0.1722623199923616,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5968677723711892,0.8062804337449105,0.75,3.0,Completed,92,79,0.1220956431011165,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6306931922609087,0.7625317232992157,0.74,6.0,Completed,231,77,0.1731382106216187,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.631124172254502,0.7578059659767135,0.74,7.0,Completed,285,79,0.1765087591450885,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
