source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
benchmark_pareto,0.55,0.0,0.55,0.0,Completed,4008,3513,0.444,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.57,1.0,0.57,1.0,Completed,365,154,0.086,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.58,2.0,0.58,2.0,Completed,2790,127,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.59,4.0,0.59,3.0,Completed,5000,118,0.279,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_max_rt,,313.0,,168.0,Completed,5000,1,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_min_acc,0.54,,0.54,,Completed,732,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
paper_default,-1.0,-1.0,0.55,0.0,Completed,250,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.55,0.0,Completed,100,100,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.55,0.0,Completed,1000,1000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.55,0.0,Completed,2000,2000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.57,1.0,Completed,2000,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.1853493184251127,0.8923814788152818,0.55,0.0,Completed,7,3399,0.0169911331571638,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.1967843597069744,0.8831668007984473,0.55,0.0,Completed,2,3201,0.0244144740779263,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.1979772021466499,0.8793459985398192,0.55,0.0,Completed,65,3681,0.0080529132271216,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.2017143167614371,0.8787646496000019,0.55,0.0,Completed,51,3388,0.0176210954952559,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.2068943867463829,0.8778346196398491,0.55,0.0,Completed,54,3201,0.004238966232306,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.2107642343980561,0.8744201960476875,0.55,0.0,Completed,201,4987,0.0157216972336173,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.2147393479066791,0.8730088924668288,0.55,0.0,Completed,110,3388,0.0176210954952559,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.2175697724905179,0.8702586499233238,0.55,0.0,Completed,64,3360,0.0403369005620479,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6011487060702075,0.769639603605253,0.56,0.0,Completed,51,113,0.136001515306449,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6087075499708974,0.7662140241676663,0.56,0.0,Completed,65,113,0.1357078143108033,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6098623260987918,0.7653873016935697,0.56,0.0,Completed,65,112,0.1357078143108033,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6244227149333742,0.7522266988813943,0.56,0.0,Completed,110,113,0.1356348963530818,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6256568561406337,0.7513999764072978,0.56,1.0,Completed,110,112,0.1357078143108033,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6462625152945262,0.7212099639837996,0.56,0.0,Completed,127,113,0.2294802250584626,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6570612874402271,0.7179793804431925,0.57,1.0,Completed,177,121,0.1949822142478078,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7111574246553866,0.6158087969681827,0.57,2.0,Completed,1684,96,0.1188939578011632,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7496609582508417,0.5826625739167923,0.57,4.0,Completed,1653,52,0.2076598329500114,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7666142493232768,0.5007493630410637,0.57,8.0,Completed,1863,21,0.23424302550219,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7710079018071169,0.48868852315649,0.57,35.0,Completed,1731,4,0.2147271246658771,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7844915310050941,0.469429881958269,0.59,1.0,Completed,2375,52,0.0022545055130847,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
