source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
benchmark_pareto,0.62,189.0,0.62,91.0,Completed,2051,2894,0.002,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.72,196.0,0.72,94.0,Completed,2181,3143,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.73,200.0,0.73,96.0,Completed,162,2134,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.75,202.0,0.75,97.0,Completed,131,1881,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.76,207.0,0.76,99.0,Completed,348,3451,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.77,209.0,0.77,100.0,Completed,94,1253,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.81,217.0,0.81,106.0,Completed,3016,5000,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.82,221.0,0.82,112.0,Completed,58,532,0.132,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.85,222.0,0.85,113.0,Completed,106,471,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.86,235.0,0.86,116.0,Completed,2910,2817,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.87,238.0,0.87,118.0,Completed,63,303,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.88,252.0,0.88,136.0,Completed,680,1590,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.89,253.0,0.89,137.0,Completed,2711,1488,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.9,281.0,0.9,165.0,Completed,668,1069,0.255,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.91,305.0,0.91,171.0,Completed,135,218,0.283,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.92,316.0,0.92,175.0,Completed,2426,564,0.425,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.93,414.0,0.93,221.0,Completed,4496,1058,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_max_rt,,9585.0,,7862.0,Completed,4801,44,0.762,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_min_acc,0.31,,0.31,,Completed,1,4353,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
paper_default,-1.0,-1.0,0.92,193.0,Completed,250,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.92,198.0,Completed,100,100,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.91,191.0,Completed,1000,1000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.9,197.0,Completed,2000,2000,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
paper_default,-1.0,-1.0,0.92,1032.0,Completed,2000,250,0.3,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.50030203831441,0.9165267036745318,0.81,103.0,Completed,57,421,0.1142079784272794,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5006702032518496,0.915478143396934,0.81,105.0,Completed,50,346,0.1263739235402622,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5087575552773017,0.914786530743578,0.81,81.0,Completed,54,404,0.1252528222281317,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.517152955572544,0.9137787404540724,0.81,106.0,Completed,61,397,0.1303719400231332,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5202358766696356,0.910777893973962,0.86,107.0,Completed,73,366,0.1244783601842191,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5208726589390611,0.9103002230269016,0.83,108.0,Completed,67,396,0.1382464194045394,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5295189642677343,0.9021106177093468,0.84,111.0,Completed,70,334,0.1346650361820267,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5529098709319153,0.891734573599465,0.86,91.0,Completed,67,276,0.1242655231734951,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5610953386206488,0.8854442686456815,0.86,113.0,Completed,64,278,0.153133977540882,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.5963621435341466,0.8602482435033891,0.89,93.0,Completed,110,265,0.1229679831680443,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6080457536361352,0.8518134341227143,0.9,136.0,Completed,141,263,0.1234056847292402,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6385596890971186,0.8280910644903839,0.91,138.0,Completed,211,264,0.1406611690301493,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.643439612441122,0.8262067271752284,0.91,123.0,Completed,201,249,0.1434961304662414,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6944491021592222,0.792188096432386,0.92,132.0,Completed,54,63,0.1588149462141708,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6973305161900615,0.7887518233471176,0.92,168.0,Completed,59,64,0.1584316125082056,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.6980797874246659,0.7880336038593512,0.93,184.0,Completed,66,63,0.1561091442838707,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7014809400108364,0.7856690472872363,0.92,177.0,Completed,72,71,0.1596484916458406,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7089204385907955,0.7742253596829013,0.92,226.0,Completed,85,64,0.1597032512700296,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7286655181371604,0.7238365400865923,0.93,314.0,Completed,227,92,0.1495402673371721,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
recommendation_system,0.7301987359174756,0.7146228620966931,0.93,356.0,Completed,143,54,0.1611468936693542,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
