source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
benchmark_pareto,0.05,716.0,0.05,358.0,Completed,1,4244,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.14,820.0,0.14,392.0,Completed,3403,4266,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.19,834.0,0.19,492.0,Completed,5000,3339,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.21,856.0,0.21,517.0,Completed,2714,1270,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.27,866.0,0.27,522.0,Completed,2533,714,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.3,900.0,0.3,577.0,Completed,474,534,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.32,925.0,0.32,589.0,Completed,1019,803,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.34,965.0,0.34,610.0,Completed,2736,527,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.37,980.0,0.37,626.0,Completed,299,219,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.4,1037.0,0.4,745.0,Completed,256,145,0.545,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.42,1223.0,0.42,780.0,Completed,2299,125,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.43,1288.0,0.43,858.0,Completed,276,117,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.46,1485.0,0.46,1007.0,Completed,264,96,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.47,1653.0,0.47,1191.0,Completed,2433,108,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.49,1976.0,0.49,1417.0,Completed,2424,103,0.201,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.5,2157.0,0.5,1424.0,Completed,230,47,0.999,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.52,3459.0,0.52,1765.0,Completed,245,48,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.54,3793.0,0.54,2821.0,Completed,309,47,0.001,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
benchmark_pareto,0.55,5313.0,0.55,3632.0,Completed,2372,28,0.966,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}"
