source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
benchmark_pareto,0.58,450.0,0.58,408.0,Completed,2098,634,0.076,0.236,intersection,0.096,False
benchmark_pareto,0.59,460.0,0.59,413.0,Completed,1960,1589,0.227,0.468,intersection,0.046,False
benchmark_pareto,0.61,467.0,0.61,415.0,Completed,3933,635,0.577,0.306,intersection,0.025,False
benchmark_pareto,0.63,522.0,0.62,448.0,Completed,4955,1073,0.784,0.074,intersection,0.017,False
benchmark_pareto,0.64,529.0,0.64,451.0,Completed,4337,644,0.016,0.03,intersection,0.034,False
benchmark_pareto,0.75,965.0,0.75,736.0,Completed,127,48,0.262,0.09,kl,0.044,False
benchmark_pareto,0.8,3016.0,0.79,2444.0,Completed,803,17,0.476,0.088,intersection,0.094,False
benchmark_pareto,0.83,4890.0,0.83,3251.0,Completed,3004,25,0.051,0.028,intersection,0.043,True
benchmark_max_rt,,14388.0,,9931.0,Completed,3902,4047,0.735,0.793,kl,0.045,False
benchmark_min_acc,0.03,,0.03,,Completed,3887,4198,0.467,0.916,str('kl'),0.065,False
paper_default,-1.0,-1.0,0.57,618.0,Completed,2000,2000,0.999,0.005,intersection,100.0,False
paper_default,-1.0,-1.0,,,MAX_RT,2000,2000,0.999,0.005,kl,100.0,False
recommendation_system,0.2083418641067542,0.9711002311091788,0.58,438.0,Completed,4408,3766,0.0651745077091913,0.6580154301703987,intersection,0.0199319242454099,False
recommendation_system,0.3455727532679736,0.947878967644817,0.58,302.0,Completed,2111,972,0.3029087700230862,0.0326416348344728,intersection,0.058054621884497,False
recommendation_system,0.3554351579520696,0.9470189172167214,0.66,311.0,Completed,1547,796,0.0710194327260828,0.0308554755791062,intersection,0.0417908313627553,False
recommendation_system,0.3595925653594769,0.9430781263933916,0.65,309.0,Completed,1547,796,0.0710194327260828,0.0308554755791062,intersection,0.0493875629907983,False
recommendation_system,0.3828275735294116,0.9383368873006036,0.67,335.0,Completed,1944,631,0.0722987169770211,0.0308554755791062,intersection,0.025377663042677,False
recommendation_system,0.4445924496187362,0.9152656236759784,0.69,393.0,Completed,1586,294,0.3029087700230862,0.0234996881039683,intersection,0.049567308867908,False
recommendation_system,0.4794800040849671,0.8799141103639339,0.76,883.0,Completed,4871,204,0.0445601861923892,0.0029746443477536,intersection,0.0594613822273304,False
recommendation_system,0.1938035879629634,0.9707907102403016,0.58,483.0,Completed,4859,3169,0.0972850147326217,0.6839647469931824,intersection,0.0534669967562311,False
recommendation_system,0.212282189542484,0.96922077292538,0.58,410.0,Completed,4622,3553,0.0317353219473734,0.6280904644671828,intersection,0.0188357566874474,False
recommendation_system,0.2151016884531593,0.9685772314278324,0.58,421.0,Completed,4816,4165,0.0940862008817493,0.5275001228377223,intersection,0.0187590627623721,False
recommendation_system,0.3888519471677558,0.9360412514882088,0.67,352.0,Completed,1610,694,0.3397750759012997,0.0133837420437484,intersection,0.0510501263476908,False
recommendation_system,0.4122645220588233,0.9329997993428292,0.68,366.0,Completed,1586,631,0.3029087700230862,0.0062315498112303,intersection,0.0402334540698233,False
recommendation_system,0.4291483183551198,0.9169746534831916,0.72,454.0,Completed,1586,294,0.3029087700230862,0.0090979412374807,intersection,0.0544235178393114,False
recommendation_system,0.4294728894335511,0.9162379246387644,0.71,450.0,Completed,1586,294,0.3029087700230862,0.0090979412374807,intersection,0.0582605926768672,False
recommendation_system,0.4467665441176471,0.9078553720995264,0.73,496.0,Completed,3315,294,0.3029087700230862,0.0090979412374807,intersection,0.0449428894104902,False
recommendation_system,0.4652402913943355,0.8913222893056185,0.7,480.0,Completed,4873,295,0.0436434762791556,0.0221097237306251,intersection,0.0432635411335909,False
recommendation_system,0.4702260212418299,0.8890830239734244,0.72,707.0,Completed,4970,213,0.0762448293208122,0.0527243394906611,intersection,0.0434843428718237,False
recommendation_system,0.4792916734749454,0.8742274719262892,0.77,998.0,Completed,4850,140,0.0277613021275848,0.0680748541580022,intersection,0.0554807434277852,False
recommendation_system,0.4837656522331154,0.8632278125640899,0.78,1163.0,Completed,4725,98,0.023868854549412,0.071022439754622,intersection,0.0480231511993152,False
recommendation_system,0.5167025258714597,0.8139445358320478,0.77,1104.0,Completed,4804,103,0.0543803833719836,0.0705976697868509,intersection,0.0514540985091675,True
