source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
benchmark_pareto,0.52,10.0,0.52,8.0,Completed,4222,3718,0.552,0.593,intersection,0.091,False
benchmark_pareto,0.53,14.0,0.53,10.0,Completed,2676,1157,0.123,0.016,intersection,0.022,False
benchmark_pareto,0.55,15.0,0.55,11.0,Completed,2998,401,0.604,0.107,intersection,0.039,False
benchmark_pareto,0.57,16.0,0.57,12.0,Completed,3494,915,0.146,0.029,intersection,0.04,True
benchmark_pareto,0.61,18.0,0.61,13.0,Completed,2359,212,0.667,0.049,intersection,0.077,False
benchmark_pareto,0.66,26.0,0.66,14.0,Completed,2143,67,0.49,0.045,intersection,0.09,False
benchmark_pareto,0.67,54.0,0.67,25.0,Completed,2815,99,0.526,0.054,intersection,0.048,True
benchmark_pareto,0.69,69.0,0.69,39.0,Completed,1158,35,0.987,0.153,intersection,0.099,False
benchmark_pareto,0.78,463.0,0.77,207.0,Completed,3893,25,0.423,0.034,kl,0.098,True
benchmark_max_rt,,901.0,,481.0,Completed,105,3564,0.718,0.7,kl,0.058,True
benchmark_min_acc,0.38,,0.38,,Completed,4601,457,0.97,0.072,str('intersection'),0.013,True
paper_default,-1.0,-1.0,0.52,9.0,Completed,1000,1000,0.999,0.005,intersection,50.0,False
paper_default,-1.0,-1.0,0.52,16.0,Completed,1000,1000,0.999,0.005,kl,50.0,False
recommendation_system,0.4651582212585889,0.9828355229277824,0.52,8.0,Completed,4473,4094,0.43409555359371,0.7464238910190761,intersection,0.0103323086816817,False
recommendation_system,0.4669771786492376,0.9805585493773676,0.52,9.0,Completed,116,4706,0.532400734262541,0.8857665894385427,intersection,0.0110268435720354,False
recommendation_system,0.4678757421023965,0.9800686486932284,0.52,8.0,Completed,3442,2287,0.0089243036201223,0.5585796200875193,intersection,0.0226552460156381,False
recommendation_system,0.4700393314270151,0.9797336089688232,0.52,8.0,Completed,4594,2473,0.0212080620490014,0.3162612316515297,intersection,0.011943848254159,False
recommendation_system,0.4757119689542482,0.9726046637455936,0.52,8.0,Completed,1608,3001,0.0220702797445035,0.033612830868593,intersection,0.0306321669144421,False
recommendation_system,0.4917919185729847,0.9460910186664544,0.6,13.0,Completed,1018,495,0.302544884089623,0.0300871709656245,intersection,0.0119310181700438,False
recommendation_system,0.495287037037037,0.9209463265992556,0.53,8.0,Completed,1185,512,0.2325070004685727,0.0559817530388666,intersection,0.065229676876019,False
recommendation_system,0.5054726851851853,0.8540678559882501,0.53,8.0,Completed,1104,344,0.6434615200437455,0.1487341214601421,intersection,0.0678776762480403,False
recommendation_system,0.5147800925925927,0.7469978296837876,0.72,35.0,Completed,915,67,0.0262757336008749,0.0155022186034652,intersection,0.0311042041164198,False
recommendation_system,0.5194601375272334,0.7287018634050996,0.65,24.0,Completed,1093,139,0.2413382246215579,0.0226643287368286,intersection,0.0628447971262071,False
recommendation_system,0.5317455950435731,0.670944128553635,0.68,28.0,Completed,804,63,0.5241789149227016,0.0683003337183371,intersection,0.0679528265876533,False
recommendation_system,0.5324620029956427,0.6695447931969168,0.64,14.0,Completed,213,76,0.6705092574834345,0.0973089147125309,intersection,0.0679376300202495,False
recommendation_system,0.5506996391612202,0.621411333086955,0.51,16.0,Completed,1233,63,0.5548358790400953,0.122283021320839,intersection,0.0695589187649348,False
recommendation_system,0.561435042211329,0.6208795431258668,0.53,16.0,Completed,1239,73,0.5998643260035437,0.1778734356758906,intersection,0.0684215237213274,False
recommendation_system,0.48842848583878,0.9425419937628348,0.58,10.0,Completed,1181,722,0.2095676231095567,0.0085656012035906,intersection,0.0886896932125091,False
recommendation_system,0.4901624863834422,0.9263199143248178,0.53,9.0,Completed,1194,512,0.4376266778403114,0.0819821550070238,intersection,0.0594685361624561,False
recommendation_system,0.4947842592592592,0.9174666166097392,0.54,9.0,Completed,1185,512,0.2325070004685727,0.0559817530388666,intersection,0.0589029361477269,False
recommendation_system,0.4999144880174292,0.8822234524188894,0.56,10.0,Completed,832,364,0.1672843070862479,0.0125109708007024,intersection,0.0587779219124603,False
recommendation_system,0.5439486179193901,0.6672627012141258,0.68,36.0,Completed,1194,67,0.5053309981690692,0.072015369823794,intersection,0.0658958784775129,False
recommendation_system,0.5534049768518519,0.5965414474755426,0.64,24.0,Completed,1217,113,0.7038953720868537,0.1471376669552701,intersection,0.061399386572161,False
