source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
benchmark_pareto,0.91,0.0,0.91,0.0,Completed,4282,4750,0.973,0.096,kl,0.061,True
benchmark_pareto,0.92,3.0,0.92,2.0,Completed,1235,44,0.729,0.172,intersection,0.067,False
benchmark_max_rt,,19.0,,11.0,Completed,4138,27,0.535,0.017,kl,0.081,True
benchmark_min_acc,0.9,,0.9,,Completed,4388,14,0.967,0.256,str('intersection'),0.093,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,250,250,0.999,0.005,intersection,13.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,400,400,0.999,0.005,intersection,20.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,1000,1000,0.999,0.005,intersection,50.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000,2000,0.999,0.005,intersection,100.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000,250,0.999,0.005,intersection,13.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000,400,0.999,0.005,intersection,20.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000,1000,0.999,0.005,intersection,50.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000,2000,0.999,0.005,intersection,100.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,250,250,0.999,0.005,kl,13.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,400,400,0.999,0.005,kl,20.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,1000,1000,0.999,0.005,kl,50.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000,2000,0.999,0.005,kl,100.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000,250,0.999,0.005,kl,13.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000,400,0.999,0.005,kl,20.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000,1000,0.999,0.005,kl,50.0,False
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000,2000,0.999,0.005,kl,100.0,False
recommendation_system,0.3854392973856209,0.9573104958436954,0.91,0.0,Completed,2526,4802,0.0639776971377432,0.7673515745420009,intersection,0.0477586580999195,False
recommendation_system,0.3855037581699346,0.9572420097100008,0.91,0.0,Completed,4453,4805,0.0240959964264184,0.7411677969768643,intersection,0.0599013209808617,False
recommendation_system,0.4061212826797384,0.9570015710450744,0.91,0.0,Completed,4416,4733,0.1081973239704966,0.4547047194149345,intersection,0.0412260500341653,False
recommendation_system,0.4149770016339868,0.955624287410758,0.91,0.0,Completed,2898,4792,0.1916863047238439,0.4013693343903869,intersection,0.062148013766855,False
recommendation_system,0.4161817810457514,0.9519807627794036,0.91,0.0,Completed,3596,4840,0.033779950203374,0.3548212040942162,intersection,0.0149889552872627,False
recommendation_system,0.4172644607843136,0.9517526114726484,0.91,0.0,Completed,2854,4939,0.1624999028043905,0.3124221331712908,intersection,0.0635497038223976,False
recommendation_system,0.4224394812091501,0.9493136234344524,0.91,0.0,Completed,3241,4886,0.140566565349698,0.122894062416628,intersection,0.0170962370745837,False
recommendation_system,0.4247109477124181,0.9491616014509626,0.91,0.0,Completed,3268,4731,0.1391173181929225,0.2191411001229792,intersection,0.0802315155192657,False
recommendation_system,0.4248315155228755,0.948278162405479,0.91,0.0,Completed,3675,4727,0.1193181103337556,0.1851178950536996,intersection,0.0191134449187666,False
recommendation_system,0.433197017973856,0.9442799460245068,0.91,0.0,Completed,4937,4692,0.0811737319566309,0.2165005370248109,intersection,0.0150146355945616,False
recommendation_system,0.4406768178104575,0.9039276399852466,0.91,0.0,Completed,1176,1442,0.0988328822106805,0.0364984057355246,intersection,0.0296095176103223,False
recommendation_system,0.4692810457516337,0.8864715607831336,0.91,0.0,Completed,1869,587,0.0171655406429692,0.0399847338598447,intersection,0.0836885638362654,False
recommendation_system,0.4695398284313727,0.8828012596144543,0.91,0.0,Completed,2854,605,0.0271223930613737,0.0399847338598447,intersection,0.0669403375002768,False
recommendation_system,0.4751048270697166,0.8816083400791732,0.91,0.0,Completed,1718,551,0.0374185806427917,0.0432897347683269,intersection,0.0442163358389595,False
recommendation_system,0.4797504901960783,0.8790689763979174,0.91,0.0,Completed,1176,520,0.0130553779465494,0.0399847338598447,intersection,0.0318684695163642,False
recommendation_system,0.4882133578431373,0.8722774244548532,0.91,0.0,Completed,2854,520,0.0178501853890737,0.0364984057355246,intersection,0.0305790620242328,False
recommendation_system,0.4934999046840961,0.866168449053023,0.91,0.0,Completed,2854,232,0.0794074749116693,0.0475626116058943,intersection,0.0603351347361841,False
recommendation_system,0.5063282066993466,0.8590052466927913,0.91,0.0,Completed,2247,232,0.0794074749116693,0.0399847338598447,intersection,0.0446756891618138,False
recommendation_system,0.5467177015250545,0.8154469333177635,0.91,0.0,Completed,4405,290,0.0330513729244925,0.0448533818349596,intersection,0.0459396507723809,True
recommendation_system,0.549853533496732,0.8108854764199255,0.91,0.0,Completed,2854,268,0.0171655406429692,0.0432897347683269,intersection,0.0511195500402679,True
