source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
benchmark_pareto,0.32,62.0,0.32,55.0,Completed,4320,3909,0.46,0.76,intersection,0.057,False
benchmark_pareto,0.35,68.0,0.35,76.0,Completed,2403,558,0.017,0.177,intersection,0.015,False
benchmark_pareto,0.43,79.0,0.43,84.0,Completed,4345,284,0.635,0.223,intersection,0.08,False
benchmark_pareto,0.46,83.0,0.46,85.0,Completed,563,258,0.297,0.134,intersection,0.023,False
benchmark_pareto,0.49,94.0,0.49,89.0,Completed,784,330,0.079,0.065,intersection,0.097,True
benchmark_pareto,0.52,102.0,0.52,93.0,Completed,1910,588,0.304,0.038,intersection,0.045,False
benchmark_pareto,0.57,128.0,0.57,125.0,Completed,4259,25,0.095,0.457,intersection,0.056,False
benchmark_pareto,0.61,139.0,0.61,129.0,Completed,4824,300,0.026,0.039,intersection,0.054,True
benchmark_max_rt,,14323.0,,7368.0,Completed,1454,4461,0.994,0.148,kl,0.028,True
benchmark_min_acc,0.29,,0.29,,Completed,534,317,0.27,0.15,str('intersection'),0.071,True
paper_default,-1.0,-1.0,0.32,69.0,Completed,1000,1000,0.999,0.005,intersection,50.0,False
paper_default,-1.0,-1.0,0.32,70.0,Completed,2000,1000,0.999,0.005,intersection,50.0,False
paper_default,-1.0,-1.0,0.32,71.0,Completed,2000,2000,0.999,0.005,intersection,100.0,False
paper_default,-1.0,-1.0,0.32,159.0,Completed,1000,1000,0.999,0.005,kl,50.0,False
paper_default,-1.0,-1.0,0.32,156.0,Completed,2000,1000,0.999,0.005,kl,50.0,False
paper_default,-1.0,-1.0,0.32,439.0,Completed,2000,2000,0.999,0.005,kl,100.0,False
recommendation_system,0.2680834422657961,0.947243342260912,0.32,48.0,Completed,1787,4438,0.031779603946954,0.5593306375909597,intersection,0.0469596945866942,False
recommendation_system,0.291569607843138,0.9436892445449004,0.32,47.0,Completed,718,4094,0.0352661962844431,0.3807807151209563,intersection,0.0205946163088083,False
recommendation_system,0.2933365468409593,0.9429999497795823,0.32,47.0,Completed,1626,4212,0.0320813403056896,0.4045720790064541,intersection,0.0186827154920871,False
recommendation_system,0.388793086679116,0.8895635613889994,0.4,40.0,Completed,2275,748,0.0803903843058182,0.0396383412464746,intersection,0.02212961872968,False
recommendation_system,0.4194156726579514,0.8727162185303374,0.48,50.0,Completed,4849,609,0.0305425805960713,0.0360862573512662,intersection,0.08237574751369,False
recommendation_system,0.422160951602863,0.8579638859920694,0.53,50.0,Completed,4849,609,0.0228934422654615,0.0247323013606425,intersection,0.0496302437730553,False
recommendation_system,0.429850653594771,0.8491705574823386,0.55,47.0,Completed,2486,284,0.0254930931824403,0.005946140864997,intersection,0.0269123724687667,False
recommendation_system,0.4319669798474946,0.8470000431015675,0.54,44.0,Completed,2275,219,0.0473586250112207,0.0433402117012452,intersection,0.021449733135899,False
recommendation_system,0.4334657718643009,0.8415715067313954,0.56,53.0,Completed,4890,609,0.0162427340509106,0.0247323013606425,intersection,0.0265898896887422,False
recommendation_system,0.4459932189542481,0.8388095050620609,0.56,59.0,Completed,4890,331,0.1546687688013015,0.0367750045107812,intersection,0.0784700738606063,False
recommendation_system,0.4566995370370367,0.8211086381883876,0.35,37.0,Completed,2011,160,0.2509492724999443,0.033245728306839,intersection,0.0855915826387918,False
recommendation_system,0.4761308278867103,0.8058444514630282,0.59,60.0,Completed,2424,106,0.1546687688013015,0.0396383412464746,intersection,0.0903207446279689,False
recommendation_system,0.4814031998910676,0.8048539748420127,0.57,55.0,Completed,2275,106,0.1425376910632779,0.0396383412464746,intersection,0.0770335838116616,False
recommendation_system,0.4818436410675376,0.7939281595114387,0.6,72.0,Completed,4020,331,0.1745725198361954,0.0367750045107812,intersection,0.0800138128866347,True
recommendation_system,0.4877538262527234,0.7809949382393353,0.62,137.0,Completed,4890,106,0.1546687688013015,0.0367750045107812,intersection,0.0756089658768637,False
recommendation_system,0.4983296568627447,0.7668287980981364,0.61,83.0,Completed,3614,257,0.1926429308117266,0.0185553951980336,intersection,0.050207553642384,True
recommendation_system,0.5102066040305006,0.7634169262781145,0.61,99.0,Completed,3961,155,0.1658866271051967,0.0469899560770707,intersection,0.0746379938604847,True
recommendation_system,0.5273490876906314,0.7549563223872305,0.61,160.0,Completed,3781,90,0.1873529832890215,0.0270861242230771,intersection,0.075394656698761,True
recommendation_system,0.5288542619825705,0.7439487376727599,0.61,154.0,Completed,2910,53,0.1855308746271864,0.0309778101344453,intersection,0.028835021554505,True
recommendation_system,0.5499497140522873,0.7275694870026519,0.61,169.0,Completed,3590,71,0.2045270871780812,0.0219023441635072,intersection,0.0504195186588913,True
