source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_clusters,threshold
benchmark_pareto,0.71,2.0,0.71,1.0,Completed,1.0,987.0,1.0,0.999
benchmark_pareto,0.74,5.0,0.74,2.0,Completed,31.0,91.0,1.0,0.224
benchmark_pareto,0.75,9.0,0.75,5.0,Completed,138.0,122.0,7.0,0.457
benchmark_max_rt,,2019.0,,1047.0,Completed,724.0,3951.0,7.0,0.636
benchmark_min_acc,0.61,,0.61,,Completed,1720.0,4831.0,3.0,0.277
paper_default,-1.0,-1.0,0.77,6.0,Completed,50.0,50.0,2.0,12.0
paper_default,-1.0,-1.0,0.75,5.0,Completed,100.0,100.0,2.0,12.0
paper_default,-1.0,-1.0,0.74,171.0,Completed,2000.0,50.0,2.0,12.0
paper_default,-1.0,-1.0,0.73,78.0,Completed,2000.0,100.0,2.0,12.0
recommendation_system,0.6224368659611157,0.8361115084421368,0.66,2.0,Completed,2.0,1131.0,1.0,4.52896416824666
recommendation_system,0.6298764784277329,0.8357702507775829,0.65,1.0,Completed,58.0,1302.0,1.0,4.579237869266011
recommendation_system,0.6328704978737978,0.8348698869194718,0.68,2.0,Completed,46.0,903.0,1.0,4.621502847524872
recommendation_system,0.6362701915417641,0.8345395899159564,0.69,1.0,Completed,24.0,1063.0,1.0,4.544703253297395
recommendation_system,0.638802191655276,0.8336871161116207,0.68,1.0,Completed,39.0,896.0,2.0,4.812128279825148
recommendation_system,0.6479923018637825,0.831544709562338,0.69,1.0,Completed,58.0,995.0,1.0,4.506378226931916
recommendation_system,0.6504349385824292,0.831241650733551,0.69,1.0,Completed,78.0,1091.0,2.0,4.705049287681414
recommendation_system,0.6654073203842938,0.8306216584219741,0.7,2.0,Completed,143.0,1050.0,1.0,4.653588903148661
recommendation_system,0.7415046155920657,0.7777514824996039,0.7,3.0,Completed,319.0,704.0,3.0,4.705049287681414
recommendation_system,0.7585144615467679,0.7700030240990651,0.7,4.0,Completed,1212.0,1008.0,3.0,4.314418290071174
recommendation_system,0.7908291018118747,0.7369528801232091,0.72,4.0,Completed,448.0,502.0,3.0,4.759659939236652
recommendation_system,0.8025963270962064,0.707304535633659,0.73,4.0,Completed,319.0,354.0,3.0,4.76030172779312
recommendation_system,0.8090417394929807,0.7004569098169008,0.74,5.0,Completed,398.0,356.0,3.0,4.772895059883129
recommendation_system,0.8196911188538333,0.6879065285544351,0.75,5.0,Completed,159.0,148.0,3.0,4.776198709011483
recommendation_system,0.820403624034744,0.6853569162206748,0.75,5.0,Completed,159.0,148.0,3.0,4.705049287681414
recommendation_system,0.839594102479414,0.6527541883853384,0.74,9.0,Completed,280.0,113.0,3.0,4.759659939236652
recommendation_system,0.8675327208462918,0.5687819391841658,0.72,2.0,Completed,2013.0,111.0,10.0,4.451681712421398
recommendation_system,0.8694994750902801,0.5532854484425866,0.73,3.0,Completed,2019.0,87.0,10.0,4.501294125904495
recommendation_system,0.8708837191781655,0.5301751434074431,0.74,40.0,Completed,1279.0,113.0,12.0,4.119809244095408
recommendation_system,0.8715798369553219,0.527876276381277,0.74,27.0,Completed,993.0,132.0,13.0,3.295851835226129
