source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_clusters,threshold
benchmark_pareto,0.52,4.0,0.52,2.0,Completed,1.0,4338.0,1.0,0.999
benchmark_pareto,0.56,5.0,0.56,3.0,Completed,2324.0,4150.0,1.0,0.894
benchmark_pareto,0.57,6.0,0.57,4.0,Completed,2329.0,3336.0,10.0,0.999
benchmark_pareto,0.6,7.0,0.6,5.0,Completed,2303.0,2002.0,6.0,0.287
benchmark_pareto,0.63,10.0,0.63,6.0,Completed,2037.0,369.0,4.0,0.788
benchmark_pareto,0.64,16.0,0.64,8.0,Completed,52.0,225.0,3.0,0.027
benchmark_pareto,0.66,19.0,0.66,9.0,Completed,2280.0,480.0,2.0,0.041
benchmark_pareto,0.68,20.0,0.68,11.0,Completed,2277.0,428.0,10.0,0.488
benchmark_pareto,0.74,49.0,0.74,19.0,Completed,158.0,87.0,9.0,0.148
benchmark_pareto,0.75,102.0,0.75,50.0,Completed,1034.0,124.0,1.0,0.001
benchmark_pareto,0.76,104.0,0.76,52.0,Completed,2395.0,55.0,9.0,0.735
benchmark_pareto,0.77,170.0,0.77,79.0,Completed,2679.0,50.0,5.0,0.228
benchmark_pareto,0.79,308.0,0.79,150.0,Completed,1164.0,37.0,10.0,0.999
benchmark_pareto,0.8,385.0,0.8,191.0,Completed,1106.0,26.0,1.0,0.999
benchmark_pareto,0.81,458.0,0.81,201.0,Completed,949.0,21.0,1.0,0.999
benchmark_pareto,0.82,670.0,0.82,299.0,Completed,1111.0,14.0,1.0,0.999
benchmark_max_rt,,1126.0,,358.0,Completed,1139.0,7.0,1.0,0.999
benchmark_min_acc,0.44,,0.44,,Completed,96.0,1805.0,4.0,0.63
paper_default,-1.0,-1.0,0.76,15.0,Completed,50.0,50.0,6.0,144.0
paper_default,-1.0,-1.0,0.71,15.0,Completed,100.0,100.0,6.0,144.0
paper_default,-1.0,-1.0,0.77,217.0,Completed,2000.0,50.0,6.0,144.0
paper_default,-1.0,-1.0,0.75,118.0,Completed,2000.0,100.0,6.0,144.0
recommendation_system,0.7304684083681193,0.929381335772924,0.53,3.0,Completed,1058.0,4801.0,1.0,1.047198796136671
recommendation_system,0.7325574479891357,0.928130863873008,0.51,3.0,Completed,655.0,4813.0,1.0,1.183806470611848
recommendation_system,0.7352925818260136,0.9276103379247684,0.54,4.0,Completed,1759.0,4689.0,1.0,1.0330281398175478
recommendation_system,0.7507736566550712,0.9255987912088816,0.56,3.0,Completed,20.0,582.0,1.0,1.2511263713564988
recommendation_system,0.7563387302297205,0.9203924269851604,0.56,3.0,Completed,27.0,519.0,1.0,1.6841492178164148
recommendation_system,0.7578852528439346,0.9145343195489152,0.58,6.0,Completed,717.0,1611.0,1.0,1.223009699771522
recommendation_system,0.8372893032356664,0.7436653017906394,0.74,20.0,Completed,147.0,87.0,7.0,4.448360080187572
recommendation_system,0.8415722999545683,0.7209111706046739,0.74,30.0,Completed,407.0,124.0,10.0,1.254507941470549
recommendation_system,0.8448722764100679,0.7164412481051677,0.74,32.0,Completed,448.0,125.0,16.0,1.2383688073800927
recommendation_system,0.8547997433767787,0.6749739485111657,0.75,39.0,Completed,599.0,124.0,10.0,1.2383688073800927
recommendation_system,0.8548323968774552,0.66993030040788,0.75,39.0,Completed,599.0,124.0,10.0,1.4280201875873804
recommendation_system,0.8567512091698138,0.6666552393659568,0.75,39.0,Completed,599.0,124.0,10.0,2.2761000927558674
recommendation_system,0.8574917961022612,0.655383458895798,0.75,39.0,Completed,599.0,124.0,10.0,2.759179905432348
recommendation_system,0.8586628309244588,0.6377111101915579,0.75,39.0,Completed,599.0,124.0,10.0,3.441289567944356
recommendation_system,0.8595362639728914,0.6374149992974343,0.76,59.0,Completed,658.0,77.0,8.0,2.7707783728175515
recommendation_system,0.8669236732259988,0.6009653389280692,0.74,63.0,Completed,953.0,101.0,10.0,4.294662615700528
recommendation_system,0.874970322098229,0.5926489020202236,0.71,103.0,Completed,1791.0,103.0,10.0,4.530806626018312
recommendation_system,0.8785834918741888,0.5857958503519857,0.73,108.0,Completed,1917.0,109.0,16.0,4.835935745368579
recommendation_system,0.8817848346205905,0.5565052224463777,0.72,14.0,Completed,2081.0,96.0,18.0,3.8113685310353578
recommendation_system,0.8831706319627831,0.5555674578014103,0.65,7.0,Completed,2019.0,104.0,17.0,3.83147819784214
