source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_clusters,threshold
benchmark_pareto,0.56,0.0,0.56,0.0,Completed,1.0,78.0,1.0,0.999
benchmark_pareto,0.57,1.0,0.57,1.0,Completed,453.0,138.0,10.0,0.999
benchmark_pareto,0.58,2.0,0.58,2.0,Completed,813.0,138.0,10.0,0.001
benchmark_pareto,0.59,17.0,0.59,13.0,Completed,3162.0,11.0,1.0,0.001
benchmark_max_rt,,46.0,,40.0,Completed,3821.0,4.0,1.0,0.832
benchmark_min_acc,0.55,,0.55,,Completed,2930.0,3455.0,3.0,0.66
paper_default,-1.0,-1.0,0.56,1.0,Completed,50.0,50.0,40.0,27.48
paper_default,-1.0,-1.0,0.56,1.0,Completed,100.0,100.0,40.0,27.48
paper_default,-1.0,-1.0,0.57,5.0,Completed,2000.0,50.0,40.0,27.48
paper_default,-1.0,-1.0,0.58,3.0,Completed,2000.0,100.0,40.0,27.48
recommendation_system,0.4006394190604714,0.6818829170880087,0.55,0.0,Completed,1588.0,3380.0,1.0,0.9980579533241688
recommendation_system,0.4042933867664588,0.6807468871221992,0.55,0.0,Completed,1474.0,3108.0,1.0,0.9936418038550764
recommendation_system,0.4252407453798976,0.6780114016403134,0.55,0.0,Completed,1358.0,2818.0,1.0,0.9880937162581832
recommendation_system,0.5246714554287227,0.6752487195208171,0.55,0.0,Completed,11.0,238.0,1.0,0.9955033690518426
recommendation_system,0.546238454788333,0.6675239519854824,0.55,0.0,Completed,5.0,200.0,2.0,0.9980980889505158
recommendation_system,0.5570663087230104,0.6580461994750182,0.55,0.0,Completed,69.0,273.0,2.0,0.9956713336173966
recommendation_system,0.6635586215257638,0.6287104315578381,0.56,0.0,Completed,171.0,161.0,2.0,0.9755689053852112
recommendation_system,0.669846284867833,0.6254979633454354,0.56,0.0,Completed,160.0,139.0,1.0,0.996165224888806
recommendation_system,0.6717922880929313,0.6242086195561912,0.56,0.0,Completed,239.0,224.0,2.0,0.992560343128478
recommendation_system,0.6783049838778119,0.6176203531547148,0.56,0.0,Completed,268.0,222.0,2.0,0.9815001117435136
recommendation_system,0.7004201521276113,0.61226178423264,0.57,1.0,Completed,172.0,110.0,2.0,0.9912703901624984
recommendation_system,0.765682267065123,0.5605458040564517,0.56,0.0,Completed,2137.0,124.0,3.0,0.8856171025346666
recommendation_system,0.7752199507080938,0.522454576157906,0.59,1.0,Completed,631.0,99.0,2.0,0.8856171025346666
recommendation_system,0.7870707409143116,0.5063226344808153,0.59,1.0,Completed,514.0,81.0,5.0,0.8142401957530528
recommendation_system,0.844248752274829,0.4210699606050639,0.59,1.0,Completed,634.0,99.0,10.0,0.7937740696291857
recommendation_system,0.8492672896924636,0.4124660323468601,0.59,1.0,Completed,657.0,99.0,10.0,0.7664479857298199
recommendation_system,0.8785445119414118,0.364019711158512,0.58,1.0,Completed,779.0,97.0,10.0,0.7015756930865886
recommendation_system,0.8790939131725755,0.3592915610111279,0.58,1.0,Completed,821.0,97.0,10.0,0.700702113862145
recommendation_system,0.8921348815906146,0.3266359747610067,0.55,3.0,Completed,847.0,36.0,10.0,0.6906075709442336
recommendation_system,0.892352240621889,0.3237227293762839,0.56,4.0,Completed,734.0,27.0,10.0,0.6777729560182002
