source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_clusters,threshold
benchmark_pareto,0.38,27.0,0.38,12.0,Completed,2270.0,4122.0,1.0,0.968
benchmark_pareto,0.53,40.0,0.53,22.0,Completed,79.0,338.0,1.0,0.844
benchmark_pareto,0.59,48.0,0.59,30.0,Completed,128.0,236.0,1.0,0.869
benchmark_pareto,0.62,63.0,0.62,33.0,Completed,2057.0,91.0,3.0,0.454
benchmark_pareto,0.69,84.0,0.69,46.0,Completed,2024.0,26.0,5.0,0.07
benchmark_max_rt,,4117.0,,1791.0,Completed,1346.0,3726.0,8.0,0.079
benchmark_min_acc,0.29,,0.29,,Completed,2097.0,4277.0,3.0,0.175
paper_default,-1.0,-1.0,0.68,47.0,Completed,50.0,50.0,10.0,34.35
paper_default,-1.0,-1.0,0.65,45.0,Completed,100.0,100.0,10.0,34.35
paper_default,-1.0,-1.0,0.59,849.0,Completed,2000.0,50.0,10.0,34.35
paper_default,-1.0,-1.0,0.6,609.0,Completed,2000.0,100.0,10.0,34.35
recommendation_system,0.4476478331524994,0.8254275761996275,0.42,17.0,Completed,65.0,1026.0,9.0,4.269277759214014
recommendation_system,0.468343947880285,0.8210413161350849,0.42,31.0,Completed,74.0,929.0,10.0,4.8138582389370645
recommendation_system,0.4693808946561393,0.8208968113822109,0.42,24.0,Completed,63.0,1002.0,10.0,4.92513616233534
recommendation_system,0.4916370599090154,0.8085404784099199,0.41,14.0,Completed,53.0,950.0,8.0,4.948445247103913
recommendation_system,0.5646981184699975,0.7455740330124789,0.48,15.0,Completed,57.0,473.0,9.0,4.6132327126847645
recommendation_system,0.5772206638390851,0.7345287796632588,0.49,15.0,Completed,62.0,416.0,9.0,4.61843317228257
recommendation_system,0.5817855501234337,0.7302491975373705,0.5,17.0,Completed,61.0,418.0,13.0,4.968597009479999
recommendation_system,0.6116177310994817,0.7231030600728315,0.54,19.0,Completed,65.0,246.0,10.0,4.4529891983880665
recommendation_system,0.6272040945989457,0.7060718888837023,0.55,15.0,Completed,65.0,246.0,11.0,4.736798111787988
recommendation_system,0.648247833257935,0.6925278031366685,0.57,20.0,Completed,65.0,201.0,11.0,4.736798111787988
recommendation_system,0.6489059199081397,0.6911628345682018,0.57,20.0,Completed,64.0,192.0,8.0,4.712347393051526
recommendation_system,0.6800995494769977,0.6835929264080735,0.6,22.0,Completed,65.0,141.0,3.0,4.34911246127254
recommendation_system,0.6958949166964772,0.6760151207903681,0.61,23.0,Completed,65.0,121.0,3.0,4.34911246127254
recommendation_system,0.7125245159419695,0.6721194202927699,0.61,24.0,Completed,64.0,117.0,8.0,4.544057257552668
recommendation_system,0.7238522619035161,0.658533282723417,0.64,28.0,Completed,65.0,84.0,8.0,4.412268158093799
recommendation_system,0.7287655829549913,0.6523333212880497,0.64,31.0,Completed,65.0,84.0,8.0,4.568640832824098
recommendation_system,0.7471916449553399,0.6442150042307417,0.64,35.0,Completed,122.0,121.0,8.0,4.580019558162228
recommendation_system,0.7590742557355434,0.6281227574013748,0.65,49.0,Completed,125.0,84.0,8.0,4.54430669448411
recommendation_system,0.7642270415311537,0.6153112990612423,0.64,53.0,Completed,151.0,92.0,8.0,4.6147788991050085
recommendation_system,0.8080021191607016,0.4803264011035448,0.63,147.0,Completed,2553.0,92.0,17.0,4.94137975387384
