source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,delta
benchmark_pareto,0.72,3.0,0.72,2.0,Completed,6.0,0.686
benchmark_pareto,0.74,4.0,0.74,3.0,Completed,3179.0,0.272
benchmark_max_rt,,21.0,,14.0,Completed,3826.0,0.006
benchmark_min_acc,0.6,,0.6,,Completed,3877.0,0.66
paper_default,-1.0,-1.0,0.72,8.0,Completed,2000.0,0.001
recommendation_system,0.4865072250280584,0.9033863829451962,0.71,1.0,Completed,2.0,0.2207888792473822
recommendation_system,0.4948847502805835,0.8959088531439695,0.71,1.0,Completed,2.0,0.216334419298917
recommendation_system,0.4966429573512906,0.8873749527024923,0.7,1.0,Completed,1.0,0.1761151381113211
recommendation_system,0.5334566498316495,0.8366668391630404,0.71,1.0,Completed,20.0,0.1378198812355685
recommendation_system,0.6400840448132123,0.7173961712432861,0.73,2.0,Completed,4403.0,0.9389308125581592
recommendation_system,0.6403305375180381,0.7164873196440529,0.73,2.0,Completed,4447.0,0.939295528916642
recommendation_system,0.640343434343435,0.7154583104713557,0.73,2.0,Completed,4528.0,0.93800956440717
recommendation_system,0.641464025172359,0.7152458242195038,0.73,2.0,Completed,4500.0,0.9386759472098202
recommendation_system,0.6421785313451985,0.7152427987424462,0.73,2.0,Completed,4465.0,0.9395274923723193
recommendation_system,0.6429696368446374,0.7132605508150139,0.73,2.0,Completed,4455.0,0.9367124259304256
recommendation_system,0.6433933181016521,0.7109330306330792,0.73,2.0,Completed,4434.0,0.9306316434703767
recommendation_system,0.6435422278338951,0.7096227077353875,0.73,2.0,Completed,4512.0,0.9302841704525052
recommendation_system,0.6453538961038966,0.7096106175792365,0.73,2.0,Completed,4458.0,0.9304067587815223
recommendation_system,0.6470259640051313,0.7086434441802413,0.73,2.0,Completed,4455.0,0.922335219077766
recommendation_system,0.6481280162738502,0.6987553527435219,0.73,2.0,Completed,4120.0,0.9203423584662378
recommendation_system,0.6484377204585545,0.6773960518083516,0.73,2.0,Completed,4463.0,0.7976250919792801
recommendation_system,0.6859706088664423,0.6182257049424694,0.73,2.0,Completed,4721.0,0.4103478271514177
recommendation_system,0.7244218574635245,0.6007434261368894,0.73,2.0,Completed,2188.0,0.027267566271161
recommendation_system,0.7434046717171723,0.574223658784323,0.73,2.0,Completed,2141.0,0.0098117727451026
recommendation_system,0.941298049943884,0.2536613483830132,0.74,9.0,Completed,3976.0,0.001069194573909
