source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,delta
benchmark_pareto,0.54,8.0,0.54,4.0,Completed,1.0,0.001
benchmark_pareto,0.55,10.0,0.55,6.0,Completed,1.0,0.028
benchmark_pareto,0.56,12.0,0.56,7.0,Completed,10.0,0.001
benchmark_pareto,0.57,13.0,0.57,8.0,Completed,2012.0,0.001
benchmark_pareto,0.63,20.0,0.63,10.0,Completed,2075.0,0.001
benchmark_pareto,0.64,29.0,0.64,15.0,Completed,102.0,0.001
benchmark_pareto,0.65,32.0,0.65,17.0,Completed,2193.0,0.025
benchmark_pareto,0.66,54.0,0.66,31.0,Completed,625.0,0.001
benchmark_pareto,0.68,57.0,0.68,32.0,Completed,576.0,0.001
benchmark_pareto,0.69,81.0,0.69,48.0,Completed,2865.0,0.001
benchmark_max_rt,,254.0,,101.0,Completed,5000.0,0.005
benchmark_min_acc,0.36,,0.36,,Completed,151.0,0.001
paper_default,-1.0,-1.0,0.67,76.0,Completed,2000.0,0.001
recommendation_system,0.847396053791887,0.9828177292564048,0.52,6.0,Completed,1.0,0.2185385197997093
recommendation_system,0.8476409231200897,0.9824477108863066,0.52,5.0,Completed,1.0,0.2092053787121549
recommendation_system,0.8501875901875903,0.9690507069184418,0.53,5.0,Completed,2.0,0.0953738222960382
recommendation_system,0.8579656886323554,0.9435918060773212,0.55,5.0,Completed,3.0,0.0221272686417733
recommendation_system,0.8595877124418795,0.9429918568600693,0.53,3.0,Completed,2.0,0.0092358808163553
recommendation_system,0.8614953603495269,0.9278260162482964,0.6,9.0,Completed,106.0,0.1329719452643767
recommendation_system,0.8683608205066539,0.9246945489610152,0.6,9.0,Completed,2212.0,0.1293472027303651
recommendation_system,0.8745468474426807,0.916785552199964,0.61,17.0,Completed,2570.0,0.1219045970346778
recommendation_system,0.8749312469937469,0.9154128764571456,0.61,17.0,Completed,2567.0,0.12286684504617
recommendation_system,0.875482032627866,0.9151775831979082,0.59,19.0,Completed,2574.0,0.1207375239152461
recommendation_system,0.8863281926406927,0.9107110829237068,0.64,19.0,Completed,2577.0,0.0838515999717637
recommendation_system,0.9154772727272724,0.8844755555549466,0.68,41.0,Completed,1538.0,0.0631015161648392
recommendation_system,0.9155205627705628,0.883669041964414,0.69,48.0,Completed,1568.0,0.06306477900967
recommendation_system,0.9156105499438834,0.8826200220111855,0.63,30.0,Completed,1529.0,0.0625023474395275
recommendation_system,0.9339602372935708,0.8726822861778919,0.63,31.0,Completed,2537.0,0.0030650268666823
recommendation_system,0.9492445687029022,0.8613496360526149,0.67,29.0,Completed,2631.0,0.001196687728379
recommendation_system,0.953836860670194,0.8282070873165832,0.66,87.0,Completed,3489.0,0.0010204533059149
recommendation_system,0.9573693682860344,0.8135113037844921,0.7,120.0,Completed,3897.0,0.0013441447438672
recommendation_system,0.9640805274971936,0.8133116052907857,0.66,112.0,Completed,3881.0,0.0011939330343157
recommendation_system,0.9649222182138844,0.8035856630052214,0.67,76.0,Completed,4003.0,0.0010419717794284
