source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,delta
benchmark_pareto,0.23,41.0,0.22,28.0,Completed,1.0,0.113
benchmark_pareto,0.33,47.0,0.33,30.0,Completed,1.0,0.001
benchmark_pareto,0.39,49.0,0.39,31.0,Completed,2036.0,0.913
benchmark_pareto,0.49,50.0,0.49,34.0,Completed,42.0,0.905
benchmark_pareto,0.59,52.0,0.59,37.0,Completed,114.0,0.783
benchmark_pareto,0.6,62.0,0.6,42.0,Completed,213.0,0.377
benchmark_pareto,0.65,64.0,0.65,45.0,Completed,2509.0,0.963
benchmark_pareto,0.66,77.0,0.66,47.0,Completed,227.0,0.194
benchmark_pareto,0.67,78.0,0.67,49.0,Completed,2291.0,0.372
benchmark_pareto,0.69,79.0,0.69,50.0,Completed,2131.0,0.11
benchmark_pareto,0.71,80.0,0.71,51.0,Completed,51.0,0.001
benchmark_pareto,0.72,89.0,0.72,59.0,Completed,2525.0,0.319
benchmark_pareto,0.76,93.0,0.76,65.0,Completed,3810.0,0.974
benchmark_pareto,0.77,111.0,0.77,70.0,Completed,1686.0,0.708
benchmark_pareto,0.78,116.0,0.78,80.0,Completed,1907.0,0.791
benchmark_pareto,0.8,129.0,0.8,83.0,Completed,211.0,0.001
benchmark_pareto,0.82,136.0,0.82,95.0,Completed,2770.0,0.001
benchmark_pareto,0.83,140.0,0.83,96.0,Completed,251.0,0.001
benchmark_pareto,0.85,155.0,0.85,99.0,Completed,3519.0,0.001
benchmark_pareto,0.86,189.0,0.86,118.0,Completed,3030.0,0.001
benchmark_pareto,0.88,235.0,0.88,190.0,Completed,1012.0,0.032
benchmark_pareto,0.89,241.0,0.89,210.0,Completed,4677.0,0.075
benchmark_pareto,0.9,355.0,0.9,291.0,Completed,3993.0,0.003
benchmark_pareto,0.91,432.0,0.91,307.0,Completed,3064.0,0.001
benchmark_max_rt,,629.0,,554.0,Completed,4598.0,0.019
benchmark_min_acc,0.19,,0.19,,Completed,1.0,0.892
paper_default,-1.0,-1.0,0.89,263.0,Completed,2000.0,0.001
recommendation_system,0.5495334180810371,0.9304540484725352,0.23,22.0,Completed,1.0,0.2733556947857141
recommendation_system,0.5741905048214567,0.9227066909277416,0.24,22.0,Completed,1.0,0.2124582297983933
recommendation_system,0.57496809363476,0.9142316400192032,0.3,23.0,Completed,3.0,0.2914376210998743
recommendation_system,0.6063199254449253,0.7816732457931178,0.59,34.0,Completed,100.0,0.2383036658428609
recommendation_system,0.6094724025974023,0.7772881568641374,0.6,35.0,Completed,102.0,0.2271163683347938
recommendation_system,0.6458103655603656,0.7545543488194066,0.64,38.0,Completed,2444.0,0.8431641048416495
recommendation_system,0.7046251202501188,0.723905558483617,0.66,43.0,Completed,905.0,0.6844223796203732
recommendation_system,0.7051522967772954,0.717561375835608,0.65,41.0,Completed,872.0,0.6850340720713138
recommendation_system,0.7054291927208582,0.7074747139616769,0.69,44.0,Completed,961.0,0.689490800831467
recommendation_system,0.7060287197370517,0.7068850033494417,0.73,50.0,Completed,963.0,0.6864483903497457
recommendation_system,0.7144749879749878,0.6912231071483887,0.71,49.0,Completed,909.0,0.5100913286283613
recommendation_system,0.7817355699855684,0.5378167838314922,0.75,65.0,Completed,1443.0,0.0718656489867717
recommendation_system,0.7852792207792195,0.5340576290038553,0.88,138.0,Completed,1467.0,0.071502709755674
recommendation_system,0.7912000761584081,0.5286104745629302,0.85,101.0,Completed,1505.0,0.0707978933715188
recommendation_system,0.7958692279942268,0.5125427645644204,0.8,67.0,Completed,1555.0,0.0683087675627321
recommendation_system,0.8208839185505856,0.3591051782006944,0.84,99.0,Completed,2839.0,0.0011620820108801
recommendation_system,0.8406341189674515,0.3205329342769785,0.83,72.0,Completed,3880.0,0.0164050426799803
recommendation_system,0.853369368286035,0.2812814976752395,0.86,106.0,Completed,3946.0,0.0115618956014513
recommendation_system,0.8549683742183741,0.2739639325012771,0.89,210.0,Completed,3852.0,0.0108384476769715
recommendation_system,0.8565454144620813,0.2542332614173988,0.9,222.0,Completed,3859.0,0.0012321465592831
