source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
benchmark_pareto,0.71,12.0,0.71,7.0,Completed,5000,1577,1,0.999,0.327,0.001,ks-test,bounded,1
benchmark_pareto,0.72,99.0,0.72,53.0,Completed,4702,1430,1,0.91,0.999,0.001,t-test,full,4989
benchmark_pareto,0.75,368.0,0.75,180.0,Completed,4537,170,1,0.922,0.999,0.001,t-test,full,976
benchmark_pareto,0.76,609.0,0.76,525.0,Completed,4350,63,1,0.999,0.999,0.001,ks-test,full,464
benchmark_pareto,0.8,7059.0,0.8,2591.0,Completed,4832,12,1,0.999,0.001,0.001,t-test,full,97
benchmark_max_rt,,13414.0,,5256.0,Completed,4115,23,3803,0.15,0.846,7.53,t-test,full,4147
benchmark_min_acc,0.71,,0.71,,Completed,5000,5000,1,0.935,0.999,10.0,str('ks-test'),str('bounded'),5000
paper_default,-1.0,-1.0,0.71,389.0,Completed,100,100,10,0.7,0.01,1.0,t-test,full,-1
paper_default,-1.0,-1.0,0.71,82.0,Completed,100,100,10,0.7,0.01,1.0,t-test,bounded,2
paper_default,-1.0,-1.0,0.71,385.0,Completed,2000,100,10,0.7,0.01,1.0,t-test,full,-1
paper_default,-1.0,-1.0,0.71,80.0,Completed,2000,100,10,0.7,0.01,1.0,t-test,bounded,2
recommendation_system,0.8352777777777778,0.5890461219703688,0.71,3.0,Completed,2457,4172,4275,0.7612587784957141,0.9348219825085252,5.418322303422728,t-test,bounded,1
recommendation_system,0.8363888888888888,0.5777158786992416,0.71,3.0,Completed,1923,3464,4703,0.6168382502272725,0.5678847092669457,5.629891570422799,t-test,bounded,1
recommendation_system,0.8481944444444444,0.5541582095136346,0.71,4.0,Completed,1419,3895,423,0.5837960946075618,0.4872209697533399,1.2891370107727125,t-test,bounded,1
recommendation_system,0.8531944444444446,0.5252955550713311,0.71,28.0,Completed,85,4830,40,0.9464330660705548,0.0185172586398956,0.3642183682314617,ks-test,full,4108
recommendation_system,0.8730555555555555,0.482794025034344,0.71,31.0,Completed,85,3245,58,0.986860592892919,0.0147180629033225,0.4600861248798746,t-test,bounded,2113
recommendation_system,0.8947222222222221,0.462493969225379,0.71,38.0,Completed,85,2032,58,0.9464330660705548,0.0147180629033225,0.4600861248798746,t-test,bounded,3872
recommendation_system,0.8288888888888889,0.5795627812918029,0.71,3.0,Completed,2457,4172,4275,0.7612587784957141,0.9348219825085252,5.418322303422728,ks-test,bounded,1
recommendation_system,0.8386111111111111,0.5658861447473161,0.71,3.0,Completed,3034,4098,3522,0.5115704870391636,0.2977109365370124,4.1183606250016025,t-test,bounded,1
recommendation_system,0.8427777777777777,0.5395709355923552,0.71,7.0,Completed,3891,3141,2575,0.6597184929437936,0.8007098774686455,1.2327624755986035,t-test,bounded,2
recommendation_system,0.857638888888889,0.4787370642667483,0.71,35.0,Completed,196,2572,999,0.9464330660705548,0.0111109216596878,0.6137867375676548,t-test,bounded,2113
recommendation_system,0.8605555555555554,0.4704847409786806,0.71,39.0,Completed,85,2032,413,0.986860592892919,0.0469106367377092,0.4600861248798746,t-test,bounded,2113
recommendation_system,0.8733333333333333,0.4366732227128536,0.71,40.0,Completed,196,2032,58,0.9464330660705548,0.0469106367377092,0.3642183682314617,t-test,bounded,166
recommendation_system,0.8361111111111111,0.5602706765134837,0.71,3.0,Completed,1419,3895,423,0.5837960946075618,0.4872209697533399,1.2891370107727125,ks-test,bounded,1
recommendation_system,0.8386111111111111,0.5534147381178028,0.71,5.0,Completed,2594,3556,3093,0.4442158458866179,0.1997651369702071,4.522876944789664,t-test,bounded,1
recommendation_system,0.8399999999999999,0.5192260952004042,0.71,7.0,Completed,3891,3141,2575,0.6597184929437936,0.8007098774686455,1.2327624755986035,ks-test,bounded,2
recommendation_system,0.8488888888888889,0.4806259758868369,0.71,32.0,Completed,85,3245,58,0.986860592892919,0.0147180629033225,0.4600861248798746,ks-test,bounded,2113
recommendation_system,0.8504166666666667,0.4734136023934318,0.71,36.0,Completed,239,2418,999,0.9523923766240554,0.0469106367377092,0.6448634775692823,t-test,bounded,2113
recommendation_system,0.8543055555555557,0.4705716816062971,0.71,35.0,Completed,239,2851,58,0.9464330660705548,0.0469106367377092,0.3642183682314617,t-test,bounded,1523
recommendation_system,0.8676388888888887,0.4637156912455961,0.71,39.0,Completed,427,2032,999,0.9464330660705548,0.0200907085044124,0.4600861248798746,t-test,bounded,2113
recommendation_system,0.8677777777777779,0.3910307048771471,0.71,41.0,Completed,4920,2866,306,0.5422842083014547,0.0039918013885617,0.0709844907233491,ks-test,bounded,1394
