source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
benchmark_pareto,0.52,15.0,0.52,7.0,Completed,1568,3998,3919,0.93,0.91,2.999,ks-test,bounded,1
benchmark_max_rt,,781.0,,424.0,Completed,2637,1420,3613,0.605,0.892,2.04,ks-test,bounded,2
benchmark_min_acc,0.52,,0.52,,Completed,1568,3998,3919,0.93,0.91,2.999,str('ks-test'),str('bounded'),1
paper_default,-1.0,-1.0,0.52,3345.0,Completed,100,100,10,0.7,0.01,1.0,t-test,bounded,2
paper_default,-1.0,-1.0,0.52,3278.0,Completed,2000,100,10,0.7,0.01,1.0,t-test,bounded,2
recommendation_system,0.92375,0.8506688263980694,0.52,7.0,Completed,3813,2645,897,0.6172826790750487,0.2321797083838616,1.3365359374670485,ks-test,bounded,1
recommendation_system,0.9270833333333334,0.8464256619442565,0.52,7.0,Completed,3813,2645,897,0.6642026717405553,0.3821907399026009,1.3365359374670485,ks-test,bounded,1
recommendation_system,0.93,0.8218669792866352,0.52,8.0,Completed,2988,2645,3512,0.6636017892373394,0.3947409967779539,2.748665706068548,t-test,bounded,1
recommendation_system,0.9304166666666668,0.8169830114665819,0.52,8.0,Completed,3811,4065,1039,0.6681199580387964,0.3718480024360827,1.3442978283366318,ks-test,bounded,1
recommendation_system,0.9308333333333332,0.7478888243909326,0.52,8.0,Completed,3910,3835,1401,0.7143951262300834,0.8673319277884439,1.753690539961681,ks-test,bounded,1
recommendation_system,0.9317592592592592,0.7375479583132007,0.52,9.0,Completed,3521,2692,3416,0.7359811210725457,0.8763060330627487,1.3575438208356498,t-test,bounded,1
recommendation_system,0.9204166666666668,0.8505524246803813,0.52,8.0,Completed,3658,2645,908,0.6309837909432984,0.2321797083838616,1.3365359374670485,ks-test,bounded,1
recommendation_system,0.9233333333333332,0.8468175215202607,0.52,7.0,Completed,2970,2645,897,0.6972263199175224,0.3718480024360827,1.3442978283366318,ks-test,bounded,1
recommendation_system,0.92375,0.8451191664181877,0.52,8.0,Completed,3658,2604,897,0.6310534786213723,0.3718480024360827,1.2281880200679804,ks-test,bounded,1
recommendation_system,0.9266666666666666,0.8419937495791494,0.52,8.0,Completed,3813,2675,897,0.6972263199175224,0.3982815982840443,1.1563774836991263,ks-test,bounded,1
recommendation_system,0.93,0.8202041291964003,0.52,8.0,Completed,2504,2645,3581,0.6122767614938002,0.3947409967779539,2.6137201962800294,t-test,bounded,1
recommendation_system,0.9304166666666668,0.8167021009315356,0.52,8.0,Completed,3825,3871,891,0.6642026717405553,0.3982815982840443,2.223922539556052,ks-test,bounded,1
recommendation_system,0.930462962962963,0.7396033830123417,0.52,7.0,Completed,2896,2675,3818,0.6157915102038533,0.8801125666126609,1.6249205381106586,t-test,bounded,1
recommendation_system,0.9308333333333332,0.7374561713482336,0.52,7.0,Completed,3869,4160,1064,0.708122238558717,0.8783534787669778,1.436981567038223,ks-test,bounded,1
recommendation_system,0.9317592592592592,0.73735023149211,0.52,7.0,Completed,2520,2627,3910,0.7488916474115104,0.868277655360289,1.0814359415210784,t-test,bounded,1
recommendation_system,0.92,0.8503650523744788,0.52,8.0,Completed,3658,2645,897,0.6972263199175224,0.2321797083838616,1.3442978283366318,ks-test,bounded,1
recommendation_system,0.9204166666666668,0.8497470947682781,0.52,8.0,Completed,3658,2645,897,0.6569139833507656,0.2321797083838616,1.3442978283366318,ks-test,bounded,1
recommendation_system,0.9270833333333334,0.8407341341507566,0.52,8.0,Completed,3825,2675,897,0.6569139833507656,0.3982815982840443,1.1563774836991263,ks-test,bounded,1
recommendation_system,0.93,0.8189688872871664,0.52,7.0,Completed,2988,2645,3581,0.6122767614938002,0.3947409967779539,2.748665706068548,t-test,bounded,1
recommendation_system,0.9304166666666668,0.8159255431654552,0.52,7.0,Completed,4068,3871,891,0.6642026717405553,0.3821907399026009,1.180557918866188,ks-test,bounded,1
