source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
benchmark_pareto,0.19,1452.0,0.19,625.0,Completed,290,772,1271,0.877,0.173,6.54,ks-test,bounded,3
benchmark_max_rt,,14349.0,,5515.0,Completed,110,663,2981,0.605,0.858,0.49,t-test,full,3272
benchmark_min_acc,0.19,,0.19,,Completed,4891,2191,3376,0.464,0.664,1.096,str('ks-test'),str('bounded'),3144
paper_default,-1.0,-1.0,,,MAX_RT,100,100,10,0.7,0.01,1.0,t-test,full,-1
paper_default,-1.0,-1.0,0.19,1674.0,Completed,100,100,10,0.7,0.01,1.0,t-test,bounded,2
paper_default,-1.0,-1.0,,,MAX_RT,2000,100,10,0.7,0.01,1.0,t-test,full,-1
paper_default,-1.0,-1.0,0.19,1676.0,Completed,2000,100,10,0.7,0.01,1.0,t-test,bounded,2
recommendation_system,0.4809413580246913,0.5985749221679064,0.19,268.0,Completed,1071,2958,1006,0.8650145213687792,0.3212694656420499,5.919337265610696,t-test,bounded,3
recommendation_system,0.4825,0.5841269462449369,0.19,268.0,Completed,1071,2958,1006,0.8650145213687792,0.3212694656420499,5.919337265610696,ks-test,bounded,3
recommendation_system,0.4967592592592592,0.5693564874387061,0.19,478.0,Completed,1313,1131,1663,0.8202900831066071,0.767332777865231,5.758153722405434,t-test,bounded,3
recommendation_system,0.4975,0.5692488977924819,0.19,311.0,Completed,1711,2335,1292,0.8226616592789069,0.026824039553292,2.223183109283448,ks-test,bounded,3
recommendation_system,0.5119135802469136,0.5667818784886149,0.19,309.0,Completed,1711,2335,1292,0.8226616592789069,0.026824039553292,2.223183109283448,t-test,bounded,3
recommendation_system,0.5170679012345679,0.4795019742612945,0.19,1024.0,Completed,4512,1271,728,0.8391860360447316,0.6028302437542006,1.7532803760766984,t-test,bounded,4
recommendation_system,0.475,0.5872073134094217,0.19,320.0,Completed,1918,2466,4538,0.7503781286366283,0.5650039829900488,5.096820192813873,t-test,bounded,3
recommendation_system,0.4849074074074073,0.5779693814700791,0.19,261.0,Completed,77,3133,4807,0.9704902019686996,0.7541212840788066,0.3657003098726272,ks-test,bounded,3
recommendation_system,0.4869444444444444,0.5702024107717885,0.19,309.0,Completed,1417,2678,520,0.7300059837382287,0.4871691321367398,1.37381678211689,t-test,bounded,3
recommendation_system,0.4884259259259259,0.5514291748411838,0.19,327.0,Completed,570,2173,4038,0.8797727883188053,0.7301353297233582,1.0831110591888429,t-test,bounded,3
recommendation_system,0.49,0.5490018157537007,0.19,437.0,Completed,1835,1401,2359,0.7776125472886488,0.7170221465416252,6.481846232891083,ks-test,bounded,3
recommendation_system,0.5079012345679013,0.5216851639419888,0.19,522.0,Completed,3211,1091,1250,0.7056068882364779,0.3966217764168978,2.4133021410703663,t-test,bounded,3
recommendation_system,0.511820987654321,0.5132807546066811,0.19,1286.0,Completed,1553,2256,448,0.9747888904882928,0.3408811893800645,2.2638171812400363,t-test,bounded,5
recommendation_system,0.5121604938271606,0.4786312647755726,0.19,977.0,Completed,4838,1541,323,0.7465142157198861,0.8816725286236032,2.107474828243256,t-test,bounded,4
recommendation_system,0.4750925925925925,0.5771877672691795,0.19,376.0,Completed,3451,2375,1611,0.670787254861556,0.6266515859635546,7.557056297063828,t-test,bounded,3
recommendation_system,0.4829629629629629,0.5753127335163409,0.19,350.0,Completed,1417,2678,520,0.7300059837382287,0.4871691321367398,1.37381678211689,ks-test,bounded,3
recommendation_system,0.4838888888888888,0.5691284497427618,0.19,368.0,Completed,570,2173,4038,0.8797727883188053,0.7301353297233582,1.0831110591888429,ks-test,bounded,3
recommendation_system,0.4850925925925926,0.5521251316068703,0.19,417.0,Completed,712,1713,1816,0.9080725094936788,0.5820983940912411,1.915366780281067,t-test,bounded,3
recommendation_system,0.49,0.5396766647572458,0.19,563.0,Completed,1313,1131,1663,0.8202900831066071,0.767332777865231,5.758153722405434,ks-test,bounded,3
recommendation_system,0.5110802469135802,0.4694560969481017,0.19,1201.0,Completed,4512,1271,728,0.8391860360447316,0.6028302437542006,1.7532803760766984,ks-test,bounded,4
