source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
benchmark_pareto,0.32,2021.0,0.32,1185.0,Completed,502,1120,4406,0.771,0.776,8.211,t-test,bounded,3
benchmark_max_rt,,14297.0,,6884.0,Completed,4680,1844,2286,0.815,0.171,4.093,t-test,bounded,4
benchmark_min_acc,0.32,,0.32,,Completed,2581,4426,1924,0.476,0.835,3.043,str('t-test'),str('bounded'),4
paper_default,-1.0,-1.0,0.32,862.0,Completed,100,100,10,0.7,0.01,1.0,t-test,bounded,2
paper_default,-1.0,-1.0,0.32,858.0,Completed,2000,100,10,0.7,0.01,1.0,t-test,bounded,2
recommendation_system,0.9383333333333334,0.5402445955539477,0.32,458.0,Completed,1643,4312,3426,0.9491013259056956,0.92851598638832,5.378154207657433,ks-test,bounded,3
recommendation_system,0.9483333333333334,0.5374424188726707,0.32,532.0,Completed,1204,4312,3354,0.9598392214162904,0.92851598638832,2.9555728684567475,ks-test,bounded,3
recommendation_system,0.9633333333333334,0.5260959929729967,0.32,550.0,Completed,2198,4012,2982,0.9436077732280648,0.92851598638832,2.8545298418257663,ks-test,bounded,3
recommendation_system,0.97,0.5087441058384633,0.32,564.0,Completed,2443,3509,3426,0.951972415227949,0.8910737549936094,2.8545298418257663,ks-test,bounded,3
recommendation_system,0.97,0.5087441058384633,0.32,562.0,Completed,2443,3515,3426,0.951972415227949,0.8910737549936094,2.8545298418257663,ks-test,bounded,3
recommendation_system,0.9733333333333334,0.5078820783431617,0.32,566.0,Completed,2519,3496,3426,0.9378253718034436,0.92851598638832,2.9555728684567475,ks-test,bounded,3
recommendation_system,0.981111111111111,0.391526015712952,0.32,713.0,Completed,1992,1802,2404,0.97296584163094,0.5539413689107359,3.5447227459017445,t-test,bounded,3
recommendation_system,0.9833333333333332,0.3890418663391065,0.32,749.0,Completed,1938,1602,2722,0.9735268624350428,0.5875799589194357,3.4343023301111537,t-test,bounded,3
recommendation_system,0.9844444444444446,0.36114341218624,0.32,749.0,Completed,3407,1784,3599,0.8814863911792635,0.62242850375548,3.465345847803168,t-test,bounded,3
recommendation_system,0.945,0.5373428450085367,0.32,542.0,Completed,873,4350,3179,0.951972415227949,0.92851598638832,3.084996553188596,ks-test,bounded,3
recommendation_system,0.9483333333333334,0.5368005166503267,0.32,543.0,Completed,1041,4259,3179,0.9436077732280648,0.92851598638832,2.9555728684567475,ks-test,bounded,3
recommendation_system,0.9633333333333334,0.522958279186031,0.32,551.0,Completed,2443,3936,3396,0.951972415227949,0.8910737549936094,2.9555728684567475,ks-test,bounded,3
recommendation_system,0.9644444444444444,0.5188278999314448,0.32,558.0,Completed,2933,4012,3334,0.9378253718034436,0.9176132120917834,2.9555728684567475,ks-test,bounded,3
recommendation_system,0.9683333333333334,0.517844052815877,0.32,561.0,Completed,1568,3496,3334,0.9378253718034436,0.9176132120917834,2.9555728684567475,ks-test,bounded,3
recommendation_system,0.9766666666666668,0.4673698162950577,0.32,662.0,Completed,1643,2230,3396,0.9068851843711798,0.9796381037371468,2.9555728684567475,ks-test,bounded,3
recommendation_system,0.98,0.4382874070750081,0.32,684.0,Completed,1709,1938,4396,0.9362196513473788,0.8734865122198909,2.893351890078295,ks-test,bounded,3
recommendation_system,0.9833333333333332,0.3400047060313739,0.32,824.0,Completed,2432,1736,627,0.8538019122481346,0.6962230798862874,3.489863782539964,t-test,bounded,3
recommendation_system,0.9383333333333334,0.5399343213202179,0.32,576.0,Completed,873,4312,3354,0.951972415227949,0.92851598638832,6.528544198263861,ks-test,bounded,3
recommendation_system,0.9733333333333334,0.5057883042634682,0.32,643.0,Completed,2443,3515,3426,0.9353454588694564,0.9796381037371468,2.9555728684567475,ks-test,bounded,3
recommendation_system,0.9733333333333334,0.5057883042634682,0.32,633.0,Completed,2443,3515,3396,0.9353454588694564,0.9796381037371468,2.9555728684567475,ks-test,bounded,3
