source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
benchmark_pareto,0.52,26.0,0.52,15.0,Completed,2680.0,1.0,1.0,0.001,0.0
benchmark_pareto,0.59,1873.0,0.59,1078.0,Completed,1920.0,2320.0,22.0,0.267,0.3
benchmark_pareto,0.76,2037.0,0.76,1139.0,Completed,2296.0,4014.0,7.0,0.625,0.3
benchmark_pareto,0.83,4136.0,0.83,2201.0,Completed,2075.0,1099.0,66.0,0.665,0.8
benchmark_pareto,0.85,5167.0,0.84,2653.0,Completed,2188.0,1.0,353.0,0.142,0.0
benchmark_max_rt,,14323.0,,6009.0,Completed,3554.0,602.0,288.0,0.832,0.8
benchmark_min_acc,0.52,,0.52,,Completed,2414.0,2194.0,1.0,0.079,0.2
paper_default,-1.0,-1.0,0.65,8984.0,Completed,500.0,500.0,500.0,0.05,1e-09
paper_default,-1.0,-1.0,0.64,8995.0,Completed,2000.0,500.0,500.0,0.05,1e-09
recommendation_system,0.544505719,0.950021575,0.52,253.0,Completed,4071.0,3167.0,5.0,0.104900365,0.9
recommendation_system,0.544852941,0.949999944,0.52,214.0,Completed,3720.0,3237.0,4.0,0.052186212,0.9
recommendation_system,0.544877451,0.949242293,0.52,398.0,Completed,3640.0,3779.0,9.0,0.102217987,0.9
recommendation_system,0.545678105,0.947048289,0.52,169.0,Completed,3857.0,2737.0,3.0,0.019724193,0.9
recommendation_system,0.547193627,0.941105259,0.52,255.0,Completed,3640.0,3167.0,5.0,0.104900365,0.8
recommendation_system,0.555420752,0.938117847,0.52,351.0,Completed,1144.0,3715.0,3.0,0.129381502,0.3
recommendation_system,0.559232026,0.930935738,0.52,552.0,Completed,1380.0,2170.0,13.0,0.045969827,0.0
recommendation_system,0.607234477,0.729810817,0.83,4034.0,Completed,4980.0,764.0,5.0,0.580788479,0.9
recommendation_system,0.626940359,0.707310669,0.82,4874.0,Completed,4980.0,764.0,132.0,0.740638408,0.9
recommendation_system,0.648864379,0.614327397,0.77,1794.0,Completed,4996.0,147.0,131.0,0.324995032,0.9
recommendation_system,0.65122549,0.606048037,0.79,2058.0,Completed,4964.0,145.0,132.0,0.366522613,0.9
recommendation_system,0.659681373,0.565422769,0.8,2078.0,Completed,4940.0,132.0,107.0,0.419414608,0.9
recommendation_system,0.692151416,0.530893703,0.75,496.0,Completed,4980.0,14.0,5.0,0.453509398,0.9
recommendation_system,0.782897603,0.331706548,0.83,5200.0,Completed,4972.0,193.0,89.0,0.799891088,0.9
recommendation_system,0.783360566,0.326959493,0.83,5235.0,Completed,4980.0,14.0,167.0,0.86786193,0.9
recommendation_system,0.80831427,0.315543876,0.84,8348.0,Completed,4977.0,152.0,111.0,0.687532587,0.9
recommendation_system,0.815999455,0.314975748,0.84,5078.0,Completed,4980.0,14.0,134.0,0.648855657,0.9
recommendation_system,0.816432462,0.297885472,0.83,5747.0,Completed,4980.0,14.0,7.0,0.582760205,0.9
recommendation_system,0.839626906,0.279406738,0.84,6411.0,Completed,4980.0,14.0,5.0,0.637863623,0.9
recommendation_system,0.848099129,0.271614269,0.83,5826.0,Completed,4980.0,14.0,5.0,0.668815847,0.9
