source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
benchmark_pareto,0.74,639.0,0.74,350.0,Completed,3882.0,1064.0,11.0,0.295,0.3
benchmark_max_rt,,14315.0,,8026.0,Completed,2876.0,494.0,372.0,0.204,0.9
benchmark_min_acc,0.7,,0.7,,Completed,241.0,377.0,282.0,0.477,0.0
paper_default,-1.0,-1.0,,,MAX_RT,500.0,500.0,500.0,0.05,1e-09
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,500.0,500.0,0.05,1e-09
recommendation_system,0.522470786,0.59868886,0.73,79.0,Completed,2207.0,110.0,16.0,0.079264555,0.0
recommendation_system,0.523437314,0.589268597,0.73,931.0,Completed,2658.0,2170.0,18.0,0.067701075,0.0
recommendation_system,0.524530353,0.588806638,0.72,79.0,Completed,2207.0,110.0,16.0,0.079264555,0.01
recommendation_system,0.569211478,0.549284332,0.73,75.0,Completed,4512.0,104.0,16.0,0.112048751,0.0
recommendation_system,0.587422262,0.51631723,0.74,164.0,Completed,4570.0,117.0,31.0,0.127387906,0.0
recommendation_system,0.592874579,0.494048772,0.71,1831.0,Completed,924.0,1667.0,18.0,0.513003964,0.9
recommendation_system,0.637270252,0.483784957,0.71,2007.0,Completed,1106.0,869.0,18.0,0.719500134,0.9
recommendation_system,0.637602,0.482165546,0.71,1256.0,Completed,590.0,869.0,18.0,0.719500134,0.9
recommendation_system,0.645154238,0.482152304,0.71,2750.0,Completed,1596.0,869.0,18.0,0.719500134,0.9
recommendation_system,0.654099327,0.466984503,0.71,2020.0,Completed,1106.0,869.0,18.0,0.719500134,0.5
recommendation_system,0.660287186,0.466331174,0.71,2191.0,Completed,1242.0,1079.0,15.0,0.703821667,0.4
recommendation_system,0.663032531,0.46196824,0.71,2380.0,Completed,1231.0,2140.0,18.0,0.690913293,0.9
recommendation_system,0.668494751,0.458929615,0.71,2762.0,Completed,1596.0,869.0,18.0,0.719500134,0.4
recommendation_system,0.669641513,0.454072431,0.71,2867.0,Completed,1596.0,869.0,22.0,0.719500134,0.4
recommendation_system,0.670884334,0.453255745,0.72,2400.0,Completed,1330.0,3660.0,13.0,0.673328399,0.3
recommendation_system,0.676559715,0.450660073,0.72,2455.0,Completed,1330.0,3660.0,13.0,0.673328399,0.4
recommendation_system,0.702508913,0.42572878,0.72,2327.0,Completed,826.0,3527.0,20.0,0.733955511,0.4
recommendation_system,0.762286096,0.267210339,0.71,6534.0,Completed,4592.0,79.0,340.0,0.789854581,0.001
recommendation_system,0.76825411,0.255788344,0.71,5742.0,Completed,3855.0,139.0,283.0,0.993441087,0.001
recommendation_system,0.779802684,0.22796447,0.71,6315.0,Completed,4545.0,173.0,324.0,0.988085729,0.001
