source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
paper_default,-1.0,-1.0,,,MAX_RT,500,500,500,0.05,1e-09
paper_default,-1.0,-1.0,,,MAX_RT,2000,500,500,0.05,1e-09
recommendation_system,0.529789439,0.93785761,,,MAX_RT,4944,1612,4834,0.704593709,0.8
recommendation_system,0.530075634,0.937678971,,,MAX_RT,4846,1534,4651,0.702522739,0.8
recommendation_system,0.532282011,0.937649198,,,MAX_RT,4938,1447,4926,0.785286278,0.8
recommendation_system,0.536795653,0.937373498,,,MAX_RT,282,1485,4484,0.812825521,0.8
recommendation_system,0.537374356,0.936875751,,,MAX_RT,211,1485,4484,0.836872942,0.8
recommendation_system,0.537469672,0.936786432,,,MAX_RT,560,1497,4793,0.852232854,0.8
recommendation_system,0.539179912,0.936697112,,,MAX_RT,282,1628,4753,0.856880675,0.8
recommendation_system,0.53981073,0.936518474,,,MAX_RT,560,1497,4793,0.852232854,0.9
recommendation_system,0.540447861,0.935784843,,,MAX_RT,4956,1628,4829,0.807287586,0.9
recommendation_system,0.544833383,0.934710311,,,MAX_RT,4692,1628,4829,0.807287586,0.9
recommendation_system,0.671118786,0.440830717,,,MAX_RT,4934,155,504,0.98309191,0.0
recommendation_system,0.671878095,0.432071493,,,MAX_RT,4741,32,648,0.882482409,0.9
recommendation_system,0.681859031,0.429994073,,,MAX_RT,4949,105,558,0.862288732,0.9
recommendation_system,0.682720341,0.420941066,,,MAX_RT,4858,295,447,0.826188645,0.9
recommendation_system,0.69779288,0.414955407,,,MAX_RT,4497,210,491,0.881838698,0.9
recommendation_system,0.700387824,0.402617163,,,MAX_RT,4955,373,304,0.828014059,0.9
recommendation_system,0.721403001,0.37201922,,,MAX_RT,4943,205,362,0.877125534,0.9
recommendation_system,0.743842593,0.34076999,,,MAX_RT,4969,215,195,0.861994381,0.9
recommendation_system,0.749255051,0.308792868,,,MAX_RT,4956,122,201,0.807287586,0.9
recommendation_system,0.752003367,0.29643308,,,MAX_RT,5000,124,240,0.9088238,0.9
