source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_windows,disjoint_training_windows
benchmark_pareto,0.71,1.0,0.71,1.0,Completed,1,420,1,False
benchmark_pareto,0.72,2.0,0.72,2.0,Completed,1,2728,1,False
benchmark_pareto,0.73,6.0,0.73,4.0,Completed,891,2981,440,False
benchmark_pareto,0.74,13.0,0.74,7.0,Completed,5000,986,1,False
benchmark_max_rt,,459.0,,248.0,Completed,863,4098,2770,False
benchmark_min_acc,0.56,,0.56,,Completed,1,4367,1,False
paper_default,-1.0,-1.0,0.64,2.0,Completed,100,3,100,True
paper_default,-1.0,-1.0,0.71,2.0,Completed,500,3,500,True
paper_default,-1.0,-1.0,0.71,2.0,Completed,1000,3,1000,True
paper_default,-1.0,-1.0,0.71,2.0,Completed,2000,3,2000,True
paper_default,-1.0,-1.0,0.64,2.0,Completed,100,3,100,False
paper_default,-1.0,-1.0,0.71,2.0,Completed,500,3,500,False
paper_default,-1.0,-1.0,0.71,2.0,Completed,1000,3,1000,False
paper_default,-1.0,-1.0,0.71,2.0,Completed,2000,3,2000,False
recommendation_system,0.1625535657608831,0.9894629688360416,0.71,1.0,Completed,3,3099,2655,True
recommendation_system,0.1682978100051273,0.9893328113185844,0.71,1.0,Completed,8,3375,3265,True
recommendation_system,0.1717926829268296,0.9891413194846116,0.71,1.0,Completed,7,3739,3087,True
recommendation_system,0.1759113015454482,0.9884807042835256,0.71,1.0,Completed,13,3751,4784,True
recommendation_system,0.1783716338289513,0.9884101521142368,0.71,1.0,Completed,360,2142,4562,True
recommendation_system,0.1786588376994885,0.988147430023519,0.71,1.0,Completed,749,2068,4793,True
recommendation_system,0.1842662784735959,0.988131906716682,0.71,1.0,Completed,704,3426,4544,True
recommendation_system,0.1919849396434766,0.98188161128005,0.71,1.0,Completed,45,1255,4600,True
recommendation_system,0.1922316427926187,0.9799199876237632,0.71,1.0,Completed,1492,4858,1131,True
recommendation_system,0.3986102281142927,0.8560481092110273,0.73,1.0,Completed,204,3892,54,False
recommendation_system,0.5293623228338676,0.776955848873676,0.71,2.0,Completed,1298,2869,54,False
recommendation_system,0.5653904493924818,0.7265863631128776,0.72,2.0,Completed,4478,3772,54,False
recommendation_system,0.6844302132624407,0.6505909610499756,0.73,3.0,Completed,166,159,11,False
recommendation_system,0.6954522923828086,0.5803642190671465,0.72,3.0,Completed,793,636,16,False
recommendation_system,0.7140941952405365,0.5797746112091358,0.74,4.0,Completed,409,245,5,False
recommendation_system,0.7467093446035543,0.5187299027544505,0.73,9.0,Completed,1035,276,5,False
recommendation_system,0.7561751225673988,0.4575053372088774,0.73,10.0,Completed,4540,462,10,False
recommendation_system,0.759017354102377,0.4450557295290999,0.73,14.0,Completed,1278,207,19,False
recommendation_system,0.7695486120557259,0.4286405512331228,0.73,13.0,Completed,4958,354,17,False
recommendation_system,0.773101428025005,0.4252064645769646,0.74,14.0,Completed,3900,332,11,False
