source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_windows,disjoint_training_windows
benchmark_pareto,0.56,4.0,0.56,3.0,Completed,1,324,1,True
benchmark_pareto,0.57,5.0,0.57,4.0,Completed,1,341,1,False
benchmark_pareto,0.58,6.0,0.58,5.0,Completed,2140,2215,1,True
benchmark_pareto,0.59,8.0,0.59,6.0,Completed,2296,2986,1,True
benchmark_pareto,0.6,10.0,0.6,7.0,Completed,1105,3104,1,False
benchmark_pareto,0.62,11.0,0.62,8.0,Completed,2331,1020,1,True
benchmark_pareto,0.64,16.0,0.64,11.0,Completed,2679,1160,1742,False
benchmark_pareto,0.65,24.0,0.65,13.0,Completed,2880,1029,1,True
benchmark_pareto,0.66,27.0,0.66,17.0,Completed,2614,481,1,False
benchmark_pareto,0.67,38.0,0.67,22.0,Completed,3133,557,1,False
benchmark_pareto,0.68,57.0,0.68,34.0,Completed,4136,495,1,True
benchmark_pareto,0.7,62.0,0.7,37.0,Completed,4178,478,1,False
benchmark_max_rt,,159.0,,93.0,Completed,854,55,41,False
benchmark_min_acc,0.38,,0.38,,Completed,4636,204,1905,False
paper_default,-1.0,-1.0,0.52,3.0,Completed,100,3,100,True
paper_default,-1.0,-1.0,0.52,3.0,Completed,500,3,500,True
paper_default,-1.0,-1.0,0.52,3.0,Completed,1000,3,1000,True
paper_default,-1.0,-1.0,0.52,2.0,Completed,2000,3,2000,True
paper_default,-1.0,-1.0,0.52,3.0,Completed,100,3,100,False
paper_default,-1.0,-1.0,0.52,3.0,Completed,500,3,500,False
paper_default,-1.0,-1.0,0.52,3.0,Completed,1000,3,1000,False
paper_default,-1.0,-1.0,0.52,3.0,Completed,2000,3,2000,False
recommendation_system,0.7745915250061595,0.995752522002478,0.52,2.0,Completed,4896,758,4242,True
recommendation_system,0.7867857084198552,0.995280042305407,0.52,2.0,Completed,475,924,4209,True
recommendation_system,0.7996178861788621,0.9941328650283584,0.52,2.0,Completed,4988,4020,4220,True
recommendation_system,0.8363272600020571,0.9528042878649148,0.61,7.0,Completed,1559,3040,27,False
recommendation_system,0.8732315010739807,0.9384106350347124,0.63,12.0,Completed,1549,1235,1,True
recommendation_system,0.7672758684405028,0.9955082434555744,0.52,2.0,Completed,4834,771,4538,True
recommendation_system,0.7673431879773346,0.995455987713082,0.52,2.0,Completed,598,3400,4991,True
recommendation_system,0.770242752730558,0.9954044255056856,0.52,2.0,Completed,4345,768,4183,True
recommendation_system,0.7712926829268296,0.9953282036225368,0.52,2.0,Completed,2774,3026,4313,True
recommendation_system,0.7718563685636859,0.9952655613330996,0.52,2.0,Completed,781,2359,4983,True
recommendation_system,0.7737708179354523,0.9952636637149126,0.52,2.0,Completed,4816,804,4245,True
recommendation_system,0.7820421286031044,0.9952409252680466,0.52,2.0,Completed,557,904,4377,True
recommendation_system,0.7847166247257713,0.9951273788976,0.52,2.0,Completed,719,2311,4263,True
recommendation_system,0.7862643508253268,0.9951253987270778,0.52,2.0,Completed,669,893,4202,True
recommendation_system,0.793724828619138,0.9943365431219096,0.52,2.0,Completed,4779,1635,4245,True
recommendation_system,0.798557280118256,0.9938525200123872,0.52,2.0,Completed,4924,3712,4206,True
recommendation_system,0.8058287323195858,0.970026827779035,0.52,2.0,Completed,1426,4696,123,True
recommendation_system,0.8136760700754603,0.9661648853753508,0.52,2.0,Completed,1745,4770,27,True
recommendation_system,0.9066610196274832,0.8529037716809162,0.72,31.0,Completed,889,243,8,False
recommendation_system,0.9135176688895132,0.8435767721763103,0.73,33.0,Completed,1142,272,4,False
