source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_windows,disjoint_training_windows
benchmark_pareto,0.56,0.0,0.56,0.0,Completed,2132,278,1,False
benchmark_pareto,0.57,1.0,0.57,1.0,Completed,303,155,1,False
benchmark_pareto,0.58,2.0,0.58,2.0,Completed,5000,237,1,False
benchmark_max_rt,,9.0,,8.0,Completed,4867,1314,4949,False
benchmark_min_acc,0.55,,0.55,,Completed,139,1421,1222,False
paper_default,-1.0,-1.0,0.55,0.0,Completed,100,3,100,True
paper_default,-1.0,-1.0,0.55,0.0,Completed,500,3,500,True
paper_default,-1.0,-1.0,0.55,0.0,Completed,1000,3,1000,True
paper_default,-1.0,-1.0,0.55,0.0,Completed,2000,3,2000,True
paper_default,-1.0,-1.0,0.55,0.0,Completed,100,3,100,False
paper_default,-1.0,-1.0,0.55,0.0,Completed,500,3,500,False
paper_default,-1.0,-1.0,0.55,0.0,Completed,1000,3,1000,False
paper_default,-1.0,-1.0,0.55,0.0,Completed,2000,3,2000,False
recommendation_system,0.1485593468560949,0.9861327326118492,0.55,0.0,Completed,308,3031,5000,True
recommendation_system,0.1558808675637945,0.9845091195423252,0.55,0.0,Completed,10,2154,4759,True
recommendation_system,0.1780443238217633,0.9603003139391902,0.55,0.0,Completed,2874,4994,994,True
recommendation_system,0.6470915913934204,0.5589691471337429,0.56,0.0,Completed,1989,762,30,False
recommendation_system,0.6848069673585667,0.5395847118315292,0.57,1.0,Completed,1689,289,30,False
recommendation_system,0.6952119307323659,0.5193352030361398,0.56,0.0,Completed,3127,760,21,False
recommendation_system,0.6953406926639737,0.5165151457820187,0.56,0.0,Completed,3043,672,34,False
recommendation_system,0.7114944065880121,0.510294815189281,0.56,0.0,Completed,3302,758,19,False
recommendation_system,0.7234168014625324,0.505812927960158,0.56,0.0,Completed,3797,751,1,False
recommendation_system,0.7348219208433723,0.4936281329500068,0.56,0.0,Completed,3271,617,1,False
recommendation_system,0.7349137292075383,0.4873167998902735,0.56,0.0,Completed,3263,631,8,False
recommendation_system,0.7383061310592899,0.4839898137553264,0.56,0.0,Completed,3273,578,22,False
recommendation_system,0.7397235638811946,0.4756263752557582,0.56,0.0,Completed,3299,525,31,False
recommendation_system,0.7399235709968516,0.4751858747082516,0.56,0.0,Completed,3608,621,3,False
recommendation_system,0.7436999248108073,0.4721155807465946,0.56,0.0,Completed,3209,517,13,False
recommendation_system,0.7628101349298158,0.4596486153381656,0.56,0.0,Completed,3271,448,1,False
recommendation_system,0.7660509796059671,0.4482352660231544,0.56,0.0,Completed,3273,437,23,False
recommendation_system,0.7761093276255886,0.4318898493803195,0.56,0.0,Completed,4197,532,2,False
recommendation_system,0.7787709885606227,0.4275645968731081,0.56,0.0,Completed,4944,590,4,False
recommendation_system,0.7897412091493993,0.4115620235325694,0.56,1.0,Completed,4372,486,3,False
