source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_windows,disjoint_training_windows
benchmark_pareto,0.19,19.0,0.19,13.0,Completed,3163,3446,2770,True
benchmark_pareto,0.35,21.0,0.35,14.0,Completed,1,3838,1,False
benchmark_pareto,0.45,22.0,0.45,15.0,Completed,1,1463,1,True
benchmark_pareto,0.5,23.0,0.5,16.0,Completed,1,746,1,True
benchmark_pareto,0.61,27.0,0.61,18.0,Completed,2044,4410,139,False
benchmark_pareto,0.69,32.0,0.69,20.0,Completed,118,3683,1,True
benchmark_pareto,0.7,33.0,0.7,21.0,Completed,189,3966,1,False
benchmark_pareto,0.71,36.0,0.71,24.0,Completed,2084,1951,1028,False
benchmark_pareto,0.72,37.0,0.72,25.0,Completed,226,3789,476,False
benchmark_pareto,0.74,41.0,0.74,27.0,Completed,331,3518,1,False
benchmark_pareto,0.76,43.0,0.76,28.0,Completed,554,5000,1,False
benchmark_pareto,0.79,44.0,0.79,29.0,Completed,556,4359,1,False
benchmark_pareto,0.8,50.0,0.8,33.0,Completed,377,2257,654,False
benchmark_pareto,0.81,53.0,0.81,34.0,Completed,2565,3092,1,False
benchmark_pareto,0.82,64.0,0.82,42.0,Completed,613,2568,51,False
benchmark_pareto,0.83,67.0,0.83,43.0,Completed,1309,5000,1,False
benchmark_pareto,0.85,77.0,0.85,52.0,Completed,1477,4682,655,False
benchmark_pareto,0.86,83.0,0.86,58.0,Completed,1804,4617,981,False
benchmark_pareto,0.87,86.0,0.87,61.0,Completed,4602,4799,1063,False
benchmark_pareto,0.88,88.0,0.88,62.0,Completed,3267,3036,255,False
benchmark_pareto,0.89,105.0,0.89,81.0,Completed,1453,2700,1,True
benchmark_pareto,0.9,118.0,0.9,88.0,Completed,700,1119,1078,False
benchmark_pareto,0.91,147.0,0.91,117.0,Completed,3886,2234,1,True
benchmark_pareto,0.92,222.0,0.92,171.0,Completed,1275,1022,1167,False
benchmark_pareto,0.93,272.0,0.93,216.0,Completed,5000,1049,1,False
benchmark_max_rt,,2556.0,,1605.0,Completed,287,4720,4,True
benchmark_min_acc,0.19,,0.19,,Completed,1233,499,3084,True
paper_default,-1.0,-1.0,0.19,38.0,Completed,100,3,100,True
paper_default,-1.0,-1.0,0.19,38.0,Completed,500,3,500,True
paper_default,-1.0,-1.0,0.19,37.0,Completed,1000,3,1000,True
paper_default,-1.0,-1.0,0.19,39.0,Completed,2000,3,2000,True
paper_default,-1.0,-1.0,0.19,37.0,Completed,100,3,100,False
paper_default,-1.0,-1.0,0.19,37.0,Completed,500,3,500,False
paper_default,-1.0,-1.0,0.19,38.0,Completed,1000,3,1000,False
paper_default,-1.0,-1.0,0.19,37.0,Completed,2000,3,2000,False
recommendation_system,0.300052366,0.958621591,0.19,11.0,Completed,3,4994,1471,True
recommendation_system,0.315366646,0.958575125,0.19,11.0,Completed,42,1201,3772,True
recommendation_system,0.317102757,0.95785753,0.19,11.0,Completed,196,1767,3428,True
recommendation_system,0.323332014,0.95773652,0.19,11.0,Completed,67,1090,3385,True
recommendation_system,0.324890455,0.957269503,0.19,11.0,Completed,23,1104,3369,True
recommendation_system,0.32606417,0.956858043,0.19,11.0,Completed,89,1167,3291,True
recommendation_system,0.327393535,0.95435381,0.19,11.0,Completed,66,1007,3275,True
recommendation_system,0.328587926,0.954039281,0.19,11.0,Completed,89,943,4380,True
recommendation_system,0.331053347,0.953026113,0.19,11.0,Completed,82,979,3140,True
recommendation_system,0.339683018,0.95119127,0.19,11.0,Completed,5,3295,948,True
recommendation_system,0.350274521,0.94673043,0.19,11.0,Completed,465,3178,960,True
recommendation_system,0.355343631,0.939418195,0.19,12.0,Completed,912,2274,968,True
recommendation_system,0.364509522,0.919503843,0.19,11.0,Completed,1261,3953,241,True
recommendation_system,0.534574647,0.745721424,0.77,26.0,Completed,35,602,2,False
recommendation_system,0.59079869,0.740644832,0.83,33.0,Completed,39,251,2,False
recommendation_system,0.642342912,0.683102006,0.88,55.0,Completed,121,329,15,False
recommendation_system,0.662774003,0.647016658,0.9,84.0,Completed,132,204,42,False
recommendation_system,0.692934354,0.636046107,0.92,117.0,Completed,129,128,4,False
recommendation_system,0.697630685,0.63180355,0.92,144.0,Completed,144,131,4,False
recommendation_system,0.709664835,0.581839337,0.93,219.0,Completed,317,163,24,False
