source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_windows,disjoint_training_windows
benchmark_pareto,0.32,7.0,0.32,5.0,Completed,4445,4140,4430,True
benchmark_pareto,0.4,13.0,0.4,8.0,Completed,2147,2072,1,True
benchmark_pareto,0.42,14.0,0.42,9.0,Completed,2376,5000,1,False
benchmark_pareto,0.43,15.0,0.43,10.0,Completed,496,5000,1,False
benchmark_pareto,0.44,17.0,0.44,11.0,Completed,627,4682,1,False
benchmark_pareto,0.47,19.0,0.47,12.0,Completed,577,3096,219,False
benchmark_pareto,0.49,23.0,0.49,13.0,Completed,2662,2360,1,True
benchmark_pareto,0.5,29.0,0.5,15.0,Completed,1068,3167,1,True
benchmark_pareto,0.51,30.0,0.51,19.0,Completed,3837,5000,725,False
benchmark_pareto,0.53,33.0,0.53,21.0,Completed,4438,4950,1427,False
benchmark_pareto,0.54,37.0,0.54,23.0,Completed,3607,3194,241,False
benchmark_pareto,0.55,39.0,0.55,24.0,Completed,2417,769,2050,False
benchmark_pareto,0.56,45.0,0.56,28.0,Completed,1611,2269,77,False
benchmark_pareto,0.57,48.0,0.57,29.0,Completed,3608,2094,1,True
benchmark_pareto,0.58,50.0,0.58,30.0,Completed,1367,1717,1,False
benchmark_pareto,0.59,58.0,0.59,34.0,Completed,4083,2321,870,False
benchmark_pareto,0.6,61.0,0.6,37.0,Completed,1471,1510,1,False
benchmark_pareto,0.61,64.0,0.61,38.0,Completed,4518,1916,120,False
benchmark_pareto,0.62,113.0,0.62,82.0,Completed,2229,89,3,True
benchmark_max_rt,,454.0,,330.0,Completed,4879,194,38,False
benchmark_min_acc,0.3,,0.3,,Completed,1,1932,5000,False
paper_default,-1.0,-1.0,0.32,6.0,Completed,100,3,100,True
paper_default,-1.0,-1.0,0.32,6.0,Completed,500,3,500,True
paper_default,-1.0,-1.0,0.32,6.0,Completed,1000,3,1000,True
paper_default,-1.0,-1.0,0.32,6.0,Completed,2000,3,2000,True
paper_default,-1.0,-1.0,0.32,7.0,Completed,100,3,100,False
paper_default,-1.0,-1.0,0.32,7.0,Completed,500,3,500,False
paper_default,-1.0,-1.0,0.32,7.0,Completed,1000,3,1000,False
paper_default,-1.0,-1.0,0.32,7.0,Completed,2000,3,2000,False
recommendation_system,0.203710317460318,0.991511261063048,0.32,4.0,Completed,3109,2960,4449,True
recommendation_system,0.2037817460317465,0.9914538760665892,0.32,4.0,Completed,300,2982,4542,True
recommendation_system,0.2055264550264555,0.991385114084008,0.32,4.0,Completed,612,3103,4613,True
recommendation_system,0.2061674531674537,0.9911126208045956,0.32,4.0,Completed,670,3478,4528,True
recommendation_system,0.2063526383526388,0.991059626797108,0.32,4.0,Completed,660,3795,4999,True
recommendation_system,0.2071759616759622,0.9910525731348012,0.32,4.0,Completed,16,3070,2825,True
recommendation_system,0.2128648648648654,0.9910013249636276,0.32,4.0,Completed,2108,3220,4993,True
recommendation_system,0.2163930358930364,0.9905935901626056,0.32,4.0,Completed,721,3377,4998,True
recommendation_system,0.2191628294961633,0.9898278492780268,0.32,4.0,Completed,692,1414,4996,True
recommendation_system,0.2242863577863582,0.9880878403204514,0.32,4.0,Completed,4662,4911,4045,True
recommendation_system,0.2384380213546883,0.9716525637548634,0.32,4.0,Completed,1221,4372,726,True
recommendation_system,0.2405931884265219,0.9713113605043384,0.32,4.0,Completed,1278,4554,759,True
recommendation_system,0.2583004075504075,0.9417757287479044,0.32,4.0,Completed,1144,4791,395,True
recommendation_system,0.2684380332713664,0.9322438615386016,0.32,4.0,Completed,1234,4815,316,True
recommendation_system,0.4125543638876972,0.8265024844786982,0.45,9.0,Completed,407,2987,8,False
recommendation_system,0.6031924034212289,0.7649276734503069,0.54,13.0,Completed,50,243,9,False
recommendation_system,0.6276949575904499,0.7483014718104094,0.56,17.0,Completed,76,211,10,False
recommendation_system,0.6401326571638366,0.7012788109046808,0.58,33.0,Completed,69,47,8,False
recommendation_system,0.659751832785166,0.6443956586667852,0.61,40.0,Completed,227,184,30,False
recommendation_system,0.7535200699357278,0.4486639124121974,0.63,102.0,Completed,2422,121,6,False
