source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_windows,disjoint_training_windows
benchmark_pareto,0.06,87.0,0.06,57.0,Completed,1,833,4713,True
benchmark_pareto,0.18,371.0,0.18,276.0,Completed,5000,3908,1,False
benchmark_pareto,0.19,385.0,0.19,282.0,Completed,4938,3302,1,True
benchmark_pareto,0.2,395.0,0.2,283.0,Completed,5000,3061,185,False
benchmark_pareto,0.21,418.0,0.21,304.0,Completed,5000,2700,1,True
benchmark_pareto,0.22,420.0,0.22,305.0,Completed,5000,2629,1584,False
benchmark_pareto,0.24,431.0,0.24,334.0,Completed,5000,2025,1,False
benchmark_pareto,0.26,457.0,0.26,344.0,Completed,4961,1931,264,False
benchmark_pareto,0.27,464.0,0.27,348.0,Completed,5000,1740,1,True
benchmark_pareto,0.28,473.0,0.28,352.0,Completed,5000,1610,1,False
benchmark_pareto,0.3,476.0,0.3,354.0,Completed,1003,848,1,True
benchmark_pareto,0.33,548.0,0.33,404.0,Completed,3381,924,1,True
benchmark_pareto,0.36,644.0,0.36,537.0,Completed,3323,693,1,False
benchmark_pareto,0.38,694.0,0.38,556.0,Completed,2970,468,1,True
benchmark_pareto,0.39,940.0,0.39,782.0,Completed,3436,508,1,False
benchmark_pareto,0.41,1195.0,0.41,973.0,Completed,3413,401,1,False
benchmark_pareto,0.44,1382.0,0.44,1136.0,Completed,1044,272,1,False
benchmark_pareto,0.47,2821.0,0.47,1981.0,Completed,3443,244,1,False
benchmark_pareto,0.48,5980.0,0.48,4232.0,Completed,1693,178,1,True
benchmark_max_rt,,12975.0,,9236.0,Completed,3485,34,1499,False
benchmark_min_acc,0.03,,0.03,,Completed,2042,2082,1771,False
paper_default,-1.0,-1.0,0.06,153.0,Completed,100,3,100,True
paper_default,-1.0,-1.0,0.05,143.0,Completed,500,3,500,True
paper_default,-1.0,-1.0,0.05,139.0,Completed,1000,3,1000,True
paper_default,-1.0,-1.0,0.06,142.0,Completed,2000,3,2000,True
paper_default,-1.0,-1.0,0.06,326.0,Completed,100,3,100,False
paper_default,-1.0,-1.0,0.05,142.0,Completed,500,3,500,False
paper_default,-1.0,-1.0,0.05,140.0,Completed,1000,3,1000,False
paper_default,-1.0,-1.0,0.06,149.0,Completed,2000,3,2000,False
recommendation_system,0.3427333153552666,0.987500828392787,0.06,46.0,Completed,8,2724,3155,True
recommendation_system,0.3740031078750594,0.984056987951324,0.06,45.0,Completed,204,2280,4826,True
recommendation_system,0.3827789064008578,0.981377366031418,0.06,45.0,Completed,342,3673,4557,True
recommendation_system,0.4958500911559855,0.93625572271427,0.18,256.0,Completed,1663,3402,1,True
recommendation_system,0.554430843101575,0.880796437286153,0.27,331.0,Completed,1549,1368,1,True
recommendation_system,0.5750840915353109,0.8695697142360029,0.2,272.0,Completed,1595,2439,117,False
recommendation_system,0.5819197569045131,0.8663096059065091,0.22,285.0,Completed,1804,2371,1,False
recommendation_system,0.5978101045428281,0.855416002137157,0.19,271.0,Completed,3696,2807,1,False
recommendation_system,0.6122688946337319,0.8520187020412684,0.21,279.0,Completed,3683,2369,117,False
recommendation_system,0.6422132553707754,0.8197879663949554,0.23,290.0,Completed,4637,2389,2,False
recommendation_system,0.644366811220469,0.7968114418135088,0.24,307.0,Completed,4970,2234,7,False
recommendation_system,0.6456395414515328,0.7674171363066686,0.25,329.0,Completed,4509,1941,23,False
recommendation_system,0.6635440410054229,0.7483031765814184,0.34,334.0,Completed,250,239,27,False
recommendation_system,0.6727329968825719,0.7096030757395159,0.36,399.0,Completed,533,352,15,False
recommendation_system,0.7082842864989939,0.6684977867814967,0.42,658.0,Completed,685,254,33,False
recommendation_system,0.7116376068931307,0.6614284444177149,0.43,667.0,Completed,597,225,18,False
recommendation_system,0.7585691637876211,0.6570752913536172,0.47,2915.0,Completed,1740,226,4,False
recommendation_system,0.763245520425398,0.5451137042038267,0.43,886.0,Completed,2819,242,6,False
recommendation_system,0.7697683623598247,0.5353094679090528,0.45,1144.0,Completed,2973,228,16,False
recommendation_system,0.7829513598088449,0.4913205920445743,0.48,3380.0,Completed,3742,207,4,False
