source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
benchmark_pareto,0.57,109.0,0.57,74.0,Completed,729.0,7.0,7.0,493.0,116.0
benchmark_pareto,0.61,112.0,0.61,78.0,Completed,1930.0,3.0,6.0,795.0,162.0
benchmark_max_rt,,13248.0,,8220.0,Completed,3629.0,4.0,142.0,825.0,7.0
benchmark_min_acc,0.57,,0.57,,Completed,3323.0,1.0,414.0,1274.0,119.0
paper_default,-1.0,-1.0,0.57,101.0,Completed,2000.0,0.0,16.0,2000.0,500.0
recommendation_system,0.3523171253093331,0.8322517963874816,0.61,67.0,Completed,1822.0,3.0,8.0,666.0,139.0
recommendation_system,0.5392508536905698,0.7748637895109879,0.57,66.0,Completed,1765.0,5.0,1.0,454.0,104.0
recommendation_system,0.541327172590657,0.7733531068445312,0.57,68.0,Completed,1550.0,5.0,13.0,526.0,112.0
recommendation_system,0.5462795853897942,0.7651705545676188,0.57,69.0,Completed,1486.0,5.0,26.0,493.0,109.0
recommendation_system,0.5477382038626906,0.7610311537714071,0.57,69.0,Completed,1465.0,5.0,29.0,500.0,103.0
recommendation_system,0.5557661077931233,0.7264908967295243,0.57,71.0,Completed,1774.0,5.0,99.0,427.0,99.0
recommendation_system,0.5616390392352038,0.716844609824356,0.57,90.0,Completed,1731.0,5.0,100.0,495.0,99.0
recommendation_system,0.56600941478993,0.6976795553714864,0.57,74.0,Completed,1856.0,7.0,90.0,461.0,100.0
recommendation_system,0.5696251451619594,0.6942671480465528,0.57,76.0,Completed,1822.0,7.0,101.0,422.0,103.0
recommendation_system,0.5734682665588321,0.6942482037380787,0.57,76.0,Completed,1872.0,7.0,98.0,441.0,106.0
recommendation_system,0.3668689014695917,0.8284324493486878,0.61,48.0,Completed,1517.0,3.0,1.0,660.0,140.0
recommendation_system,0.4190008692436365,0.8254786690132377,0.57,57.0,Completed,1675.0,4.0,5.0,691.0,147.0
recommendation_system,0.4968057715703758,0.8047686745675539,0.57,54.0,Completed,1615.0,5.0,4.0,706.0,158.0
recommendation_system,0.4992148137779433,0.8044314153043564,0.57,55.0,Completed,1971.0,5.0,5.0,1123.0,261.0
recommendation_system,0.5000894560574008,0.8034184204752174,0.57,55.0,Completed,1841.0,5.0,5.0,1309.0,276.0
recommendation_system,0.5310720348941699,0.7801769844287776,0.57,56.0,Completed,1769.0,5.0,28.0,568.0,142.0
recommendation_system,0.5352161599823039,0.776096718052437,0.57,61.0,Completed,1779.0,5.0,9.0,595.0,115.0
recommendation_system,0.5629694485919291,0.6929441360109259,0.57,60.0,Completed,1780.0,7.0,84.0,476.0,109.0
recommendation_system,0.567923017502385,0.6905625230235088,0.57,78.0,Completed,1914.0,7.0,103.0,471.0,96.0
recommendation_system,0.5685992544896521,0.6827618120510556,0.57,76.0,Completed,1452.0,7.0,106.0,485.0,98.0
