source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
benchmark_pareto,0.17,34.0,0.17,25.0,Completed,1082.0,119.0,1.0,298.0,62.0
benchmark_pareto,0.22,50.0,0.22,37.0,Completed,555.0,124.0,62.0,288.0,50.0
benchmark_pareto,0.26,53.0,0.26,39.0,Completed,1334.0,25.0,82.0,181.0,31.0
benchmark_pareto,0.29,106.0,0.29,68.0,Completed,717.0,8.0,151.0,637.0,146.0
benchmark_max_rt,,8010.0,,4719.0,Completed,4047.0,110.0,121.0,1881.0,2.0
benchmark_min_acc,0.1,,0.1,,Completed,3069.0,9.0,492.0,516.0,25.0
paper_default,-1.0,-1.0,0.17,55.0,Completed,2000.0,0.0,16.0,2000.0,500.0
recommendation_system,0.851718183609141,0.9315912399960902,0.17,34.0,Completed,598.0,22.0,6.0,525.0,120.0
recommendation_system,0.8738803191489365,0.9267718008419228,0.17,31.0,Completed,805.0,27.0,3.0,528.0,120.0
recommendation_system,0.8846464736012609,0.8996290434450672,0.17,33.0,Completed,909.0,3.0,2.0,523.0,115.0
recommendation_system,0.8924111505122145,0.8592130708701852,0.17,57.0,Completed,1480.0,3.0,96.0,459.0,107.0
recommendation_system,0.8924667060677698,0.8236813924473764,0.17,69.0,Completed,1446.0,3.0,4.0,263.0,25.0
recommendation_system,0.8939190307328607,0.7316854440906927,0.17,162.0,Completed,3601.0,3.0,108.0,1227.0,94.0
recommendation_system,0.8945295508274236,0.7158375735804661,0.17,126.0,Completed,1306.0,3.0,416.0,335.0,58.0
recommendation_system,0.8970823483057525,0.6743037007702452,0.17,189.0,Completed,1326.0,3.0,438.0,318.0,27.0
recommendation_system,0.8933028959810878,0.7116763920815402,0.17,79.0,Completed,1781.0,3.0,418.0,367.0,58.0
recommendation_system,0.8594053388494878,0.9298205419624764,0.17,17.0,Completed,628.0,35.0,10.0,500.0,119.0
recommendation_system,0.8682262608353035,0.9273566612175236,0.17,15.0,Completed,724.0,29.0,1.0,526.0,119.0
recommendation_system,0.8726746453900712,0.9240650605608708,0.17,16.0,Completed,780.0,26.0,1.0,518.0,122.0
recommendation_system,0.8735966312056739,0.9207501513483816,0.17,16.0,Completed,936.0,27.0,2.0,481.0,109.0
recommendation_system,0.8738537234042555,0.9184703214656816,0.17,20.0,Completed,875.0,26.0,31.0,545.0,123.0
recommendation_system,0.8860646834778042,0.8945816948218339,0.17,15.0,Completed,650.0,3.0,2.0,485.0,100.0
recommendation_system,0.8886012608353036,0.8206584400189488,0.17,41.0,Completed,805.0,3.0,127.0,541.0,99.0
recommendation_system,0.890849192277384,0.8010887871040095,0.17,42.0,Completed,1459.0,3.0,126.0,451.0,69.0
recommendation_system,0.8914262214342004,0.7935085003823003,0.17,55.0,Completed,1392.0,3.0,214.0,460.0,92.0
recommendation_system,0.8915978132387707,0.741822269633426,0.17,74.0,Completed,1493.0,3.0,72.0,851.0,53.0
recommendation_system,0.8920443590753877,0.6209068338112759,0.17,177.0,Completed,4080.0,3.0,128.0,1118.0,29.0
