source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
benchmark_pareto,0.06,9.0,0.06,5.0,Completed,3416.0,12.0,18.0,1144.0,250.0
benchmark_pareto,0.08,11.0,0.08,6.0,Completed,3878.0,9.0,9.0,1447.0,313.0
benchmark_max_rt,,2507.0,,1333.0,Completed,1746.0,15.0,450.0,704.0,160.0
benchmark_min_acc,0.04,,0.04,,Completed,3823.0,19.0,27.0,1619.0,307.0
paper_default,-1.0,-1.0,0.04,5.0,Completed,2000.0,0.0,16.0,2000.0,500.0
recommendation_system,0.3223572383974118,0.8323569938002758,0.04,4.0,Completed,1312.0,3.0,11.0,644.0,149.0
recommendation_system,0.3389203095405969,0.8282427149913174,0.04,4.0,Completed,1160.0,3.0,3.0,1134.0,276.0
recommendation_system,0.3954296793994435,0.8173070691153449,0.04,4.0,Completed,1332.0,1.0,6.0,1261.0,306.0
recommendation_system,0.4058962714113884,0.8167223069353733,0.04,4.0,Completed,1212.0,0.0,7.0,1188.0,290.0
recommendation_system,0.4129498292618854,0.814374034305312,0.04,5.0,Completed,1334.0,0.0,8.0,1257.0,280.0
recommendation_system,0.4376673510016174,0.7977966598911306,0.04,4.0,Completed,525.0,7.0,3.0,321.0,80.0
recommendation_system,0.4466640727607039,0.7935800828746692,0.04,4.0,Completed,785.0,7.0,6.0,630.0,144.0
recommendation_system,0.4538475453803933,0.7848890345085426,0.06,5.0,Completed,1836.0,5.0,4.0,1561.0,361.0
recommendation_system,0.456994077737685,0.7830003889310675,0.06,5.0,Completed,1995.0,5.0,5.0,1578.0,362.0
recommendation_system,0.5099089419766903,0.6176949187819727,0.04,9.0,Completed,4734.0,6.0,166.0,934.0,191.0
recommendation_system,0.5173078401282948,0.6169593399216166,0.06,10.0,Completed,4774.0,8.0,179.0,810.0,188.0
recommendation_system,0.5383026142977609,0.6168966644901577,0.04,10.0,Completed,4772.0,7.0,152.0,920.0,192.0
recommendation_system,0.5425270139493723,0.6143478103822615,0.04,11.0,Completed,4745.0,7.0,164.0,865.0,174.0
recommendation_system,0.3498326213484853,0.8179202231399245,0.04,4.0,Completed,1275.0,3.0,3.0,1255.0,302.0
recommendation_system,0.411132830105207,0.805199655577815,0.04,4.0,Completed,1503.0,0.0,2.0,1348.0,318.0
recommendation_system,0.4424038267457449,0.7936118599275339,0.06,5.0,Completed,1907.0,5.0,8.0,1443.0,349.0
recommendation_system,0.4599512549596999,0.7800047017586861,0.06,5.0,Completed,1779.0,5.0,15.0,1764.0,376.0
recommendation_system,0.5137329676634453,0.6123174383360489,0.04,11.0,Completed,4923.0,7.0,155.0,988.0,209.0
recommendation_system,0.5200996364038537,0.6093117657377359,0.04,12.0,Completed,4993.0,7.0,177.0,914.0,195.0
recommendation_system,0.5283895317489934,0.6053764937526221,0.04,12.0,Completed,4802.0,6.0,170.0,984.0,185.0
